#v_mps, ax_max_machines_mps2
0.00,12.824
0.25,12.824
0.50,12.824
0.75,12.824
1.00,12.824
1.25,12.824
1.50,12.824
1.75,12.824
2.00,12.824
2.25,12.824
2.50,12.824
2.75,12.824
3.00,12.824
3.25,12.824
3.50,12.824
3.75,12.824
4.00,12.824
4.25,12.824
4.50,12.824
4.75,12.824
5.00,12.824
5.25,12.824
5.50,12.824
5.75,12.824
6.00,12.824
6.25,12.824
6.50,12.824
6.75,12.824
7.00,12.824
7.25,12.824
7.50,12.824
7.75,12.824
8.00,12.824
8.25,12.824
8.50,12.824
8.75,12.824
9.00,12.824
9.25,12.824
9.50,12.824
9.75,12.824
10.00,12.824
10.25,12.824
10.50,12.824
10.75,12.824
11.00,12.824
11.25,12.824
11.50,12.824
11.75,12.824
12.00,12.824
12.25,12.824
12.50,12.824
12.75,12.824
13.00,12.824
13.25,12.824
13.50,12.824
13.75,12.824
14.00,12.824
14.25,12.824
14.50,12.805
14.75,12.238
15.00,11.624
