#v_mps, ax_max_machines_mps2
0.00,5.0
0.25,5.0
0.50,5.0
0.75,5.0
1.00,5.0
1.25,5.0
1.50,5.0
1.75,5.0
2.00,5.0
2.25,5.0
2.50,5.0
2.75,5.0
3.00,5.0
3.25,5.0
3.50,5.0
3.75,5.0
4.00,5.0
4.25,5.0
4.50,5.0
4.75,5.0
5.00,5.0
5.25,5.0
5.50,5.0
5.75,5.0
6.00,5.0
6.25,5.0
6.50,5.0
6.75,5.0
7.00,5.0
7.25,5.0
7.50,5.0
7.75,5.0
8.00,5.0
8.25,5.0
8.50,5.0
8.75,5.0
9.00,5.0
9.25,5.0
9.50,5.0
9.75,5.0
10.00,5.0
10.25,5.0
10.50,5.0
10.75,5.0
11.00,5.0
11.25,5.0
11.50,5.0
11.75,5.0
12.00,5.0
12.25,5.0
12.50,5.0
12.75,5.0
13.00,5.0
13.25,5.0
13.50,5.0
13.75,5.0
14.00,5.0
14.25,5.0
14.50,5.0
14.75,5.0
17.00,5.0
