#v_mps, ax_max_machines_mps2
0.0,5.0
0.25,5.0
0.5,5.0
0.75,5.0
1.0,5.0
1.25,5.0
1.5,5.0
1.75,5.0
2.0,5.0
2.25,5.0
2.5,5.0
2.75,5.0
3.0,5.0
3.25,5.0
3.5,5.0
3.75,5.0
4.0,5.0
4.25,5.0
4.5,5.0
4.75,5.0
5.0,5.0
5.25,5.0
5.5,5.0
5.75,5.0
6.0,5.0
6.25,5.0
6.5,5.0
6.75,5.0
7.0,5.0
7.25,5.0
7.5,5.0
7.75,5.0
8.0,5.0
8.25,5.0
8.5,5.0
8.75,5.0
9.0,5.0
9.25,5.0
9.5,5.0
9.75,5.0
10.0,5.0
10.25,5.0
10.5,5.0
10.75,5.0
11.0,5.0
11.25,5.0
11.5,5.0
11.75,5.0
12.0,5.0
12.25,5.0
12.5,5.0
12.75,5.0
13.0,5.0
13.25,5.0
13.5,5.0
13.75,5.0
14.0,5.0
14.25,5.0
14.5,5.0
14.75,5.0
17.0,5.0
