x_m,y_m,w_tr_right_m,w_tr_left_m
0.399571,-0.009299,0.757856,0.854025
0.489822,-0.052072,0.715028,0.845804
0.584363,-0.084149,0.682977,0.837810
0.682097,-0.104455,0.662695,0.814873
0.781755,-0.110890,0.656264,0.771752
0.881564,-0.107426,0.659730,0.730270
0.980279,-0.092101,0.675071,0.689264
1.077381,-0.068790,0.698425,0.653067
1.172321,-0.037749,0.729565,0.622451
1.264942,-0.000306,0.744894,0.584962
1.355471,0.041854,0.669056,0.557832
1.442542,0.090829,0.606314,0.529130
1.528157,0.142332,0.557196,0.507358
1.611151,0.197949,0.516640,0.484058
1.693418,0.254658,0.482607,0.469718
1.775244,0.311995,0.455704,0.448522
1.857110,0.369278,0.438314,0.427510
1.939846,0.425283,0.419412,0.429694
2.024551,0.478242,0.408548,0.430510
2.112166,0.526190,0.416097,0.444484
2.203571,0.566384,0.418987,0.480929
2.299222,0.594925,0.409641,0.500479
2.398255,0.607313,0.386421,0.525649
2.498137,0.606442,0.373566,0.526498
2.597589,0.597152,0.366533,0.480818
2.695603,0.578097,0.362323,0.438553
2.790940,0.548556,0.374572,0.413217
2.881551,0.506471,0.384947,0.393903
2.969977,0.460000,0.392937,0.384791
3.056757,0.410473,0.390736,0.376075
3.143025,0.360067,0.410720,0.389165
3.229602,0.310187,0.436417,0.408379
3.316486,0.260866,0.462771,0.413917
3.404309,0.213221,0.504203,0.433480
3.493758,0.168726,0.563307,0.470641
3.585315,0.128716,0.633107,0.504198
3.677437,0.090106,0.704349,0.542808
3.772746,0.060251,0.731016,0.579895
3.870001,0.037499,0.704771,0.624571
3.968453,0.020640,0.687951,0.671212
4.067888,0.011410,0.678738,0.715492
4.167740,0.011628,0.678958,0.753434
4.267114,0.021446,0.668361,0.791462
4.365119,0.040682,0.665249,0.831418
4.460792,0.069431,0.686541,0.872460
4.553140,0.107530,0.724719,0.910973
4.642890,0.151374,0.768775,0.943570
4.729338,0.201374,0.797764,0.969436
4.810795,0.259160,0.836853,0.986211
4.883665,0.327288,0.896388,0.991265
4.945651,0.405517,0.972620,0.991506
4.996195,0.491593,0.953430,0.987917
5.034999,0.583576,0.906435,0.981262
5.062501,0.679564,0.879143,0.969852
5.079534,0.777963,0.862210,0.951374
5.087160,0.877556,0.854612,0.933709
5.087183,0.977454,0.854591,0.914392
5.081384,1.077196,0.860393,0.879744
5.071428,1.176613,0.870363,0.845997
5.059436,1.275809,0.882378,0.821052
5.047896,1.375057,0.893938,0.808236
5.040035,1.474652,0.901807,0.800370
5.037605,1.574535,0.882567,0.797943
5.036603,1.674448,0.863336,0.796943
5.039538,1.774317,0.851482,0.799874
5.042706,1.874185,0.848319,0.803038
5.044406,1.974071,0.846621,0.804736
5.043004,2.073979,0.848024,0.814282
5.040498,2.173866,0.850531,0.834687
5.039651,2.273777,0.851378,0.850014
5.036796,2.373652,0.829850,0.847162
5.031910,2.473449,0.815670,0.843400
5.025347,2.573150,0.815281,0.849763
5.017458,2.672756,0.823173,0.865284
5.008589,2.772280,0.832045,0.868235
4.999084,2.871745,0.841554,0.858743
4.989286,2.971182,0.851357,0.848958
4.979533,3.070623,0.861114,0.839220
4.970166,3.170102,0.870485,0.829868
4.962712,3.269725,0.876859,0.822423
4.957330,3.369498,0.854471,0.820365
4.951835,3.469266,0.843515,0.821716
4.946747,3.569054,0.843917,0.832345
4.942584,3.668885,0.848078,0.851987
