x_m,y_m,w_tr_right_m,w_tr_left_m
1.794446,-0.127563,1.298863,0.896450
1.887392,-0.091229,1.226906,0.891740
1.976507,-0.046371,1.163259,0.886317
2.061351,0.006113,1.111421,0.877122
2.141472,0.065588,1.053103,0.866585
2.216304,0.131600,1.008889,0.859067
2.286479,0.202543,0.979442,0.856328
2.351715,0.278070,0.956769,0.849044
2.412260,0.357414,0.940629,0.835726
2.468081,0.440127,0.932411,0.819668
2.519484,0.525675,0.917370,0.804917
2.565314,0.614319,0.910770,0.796025
2.606302,0.705321,0.912454,0.794216
2.643261,0.798039,0.927197,0.800544
2.675329,0.892555,0.950615,0.813993
2.703159,0.988404,0.962198,0.834924
2.725841,1.085599,0.978431,0.842859
2.744171,1.183713,1.004727,0.843654
2.758851,1.282433,1.025664,0.845915
2.769861,1.381641,1.051119,0.851571
2.776972,1.481200,1.083843,0.858680
2.781062,1.580929,1.124262,0.862770
2.780697,1.680740,1.175594,0.868582
2.776333,1.780458,1.210008,0.881763
2.769927,1.880069,1.252361,0.900068
2.760486,1.979437,1.251561,0.900664
2.749995,2.078703,1.227316,0.909350
2.738395,2.177846,1.201071,0.921091
2.725984,2.276885,1.164616,0.918703
2.710900,2.375553,1.138411,0.924439
2.694986,2.474093,1.121348,0.928639
2.675936,2.572069,1.101581,0.921314
2.655957,2.669866,1.078030,0.923824
2.634178,2.767277,1.060232,0.918902
2.611857,2.864564,1.043819,0.909919
2.587673,2.961409,1.015364,0.909928
2.562403,3.057977,0.985257,0.898260
2.536485,3.154370,0.964872,0.887202
2.509066,3.250351,0.952296,0.879844
2.482372,3.346535,0.943525,0.864080
2.454935,3.442511,0.933704,0.841690
2.426802,3.538284,0.918096,0.830045
2.397901,3.633828,0.908332,0.829523
2.367765,3.728990,0.902901,0.805658
2.338702,3.824481,0.890438,0.794746
2.310563,3.920253,0.888111,0.792656
2.282255,4.015976,0.874756,0.781579
2.255209,4.112059,0.862508,0.774898
2.227723,4.208017,0.862181,0.780570
2.200091,4.303935,0.863162,0.795633
2.174158,4.400325,0.862816,0.804779
2.145747,4.496017,0.863238,0.815290
2.117489,4.591752,0.866883,0.826014
2.089429,4.687547,0.865580,0.846508
2.060647,4.783127,0.862254,0.872524
2.031851,4.878703,0.868901,0.894902
2.003164,4.974312,0.875965,0.904658
1.974046,5.069790,0.873787,0.916326
1.946696,5.165786,0.881137,0.909348
1.920361,5.262070,0.888615,0.905084
1.894711,5.358536,0.874693,0.912496
1.869629,5.455153,0.871458,0.926244
1.845903,5.552112,0.868778,0.946910
1.821975,5.649016,0.863804,0.974857
1.800515,5.746496,0.859223,1.007693
1.781280,5.844444,0.853474,1.032016
1.763216,5.942606,0.842317,1.052986
1.748603,6.041347,0.833116,1.077356
1.735382,6.140285,0.834416,1.110457
1.724991,6.239562,0.844749,1.138758
1.717576,6.339096,0.852131,1.101213
1.714630,6.438860,0.855065,1.076031
1.714940,6.538673,0.854752,1.053767
1.719643,6.638366,0.850046,1.019673
1.728468,6.737791,0.852774,0.998524
1.741853,6.836698,0.862543,0.991648
1.759384,6.934954,0.874833,0.981121
1.782189,7.032123,0.876587,0.966323
1.810127,7.127925,0.884360,0.965969
1.843202,7.222090,0.897898,0.953691
1.881856,7.314097,0.916333,0.948747
1.925933,7.403631,0.929794,0.955223
1.975536,7.490223,0.947095,0.964529
2.031021,7.573152,0.966565,0.967072
2.093440,7.650990,0.977487,0.982368
2.162563,7.722940,0.979490,1.015758
2.237580,7.788751,0.972998,1.060797
2.317691,7.848247,0.959411,1.109075
2.402322,7.901156,0.942517,1.170267
2.490359,7.948132,0.924578,1.221488
2.581838,7.988019,0.909338,1.166853
2.675521,8.022396,0.898978,1.123850
2.771593,8.049358,0.891848,1.095810
2.869248,8.069969,0.889313,1.063197
2.967849,8.085364,0.883601,1.013193
3.067224,8.094555,0.870865,0.976754
3.166956,8.098358,0.864073,0.929825
3.266768,8.098659,0.854916,0.892812
3.366502,8.094803,0.852421,0.869860
3.465969,8.086621,0.857262,0.838603
3.564975,8.073926,0.869108,0.814828
3.663473,8.057800,0.878311,0.805681
3.761429,8.038641,0.874282,0.789593
3.858780,8.016575,0.878658,0.788918
3.955770,7.992984,0.892691,0.802323
4.052432,7.968074,0.910860,0.805975
4.149099,7.943185,0.929305,0.810233
4.246154,7.919864,0.935917,0.825034
4.343752,7.898929,0.955376,0.846023
4.441883,7.880732,0.980747,0.864264
4.540705,7.866723,0.998937,0.878298
4.640059,7.857163,1.030763,0.887869
4.739631,7.850148,1.059559,0.894890
4.839369,7.846318,1.094123,0.898722
4.939178,7.846877,1.133831,0.900581
5.038843,7.852291,1.175908,0.908614
5.138268,7.861070,1.222069,0.924094
5.237082,7.875146,1.272945,0.938998
5.334927,7.894854,1.329610,0.940409
5.431414,7.920385,1.389576,0.940929
5.526386,7.951101,1.322519,0.946622
5.619648,7.986644,1.262319,0.949674
5.710555,8.027831,1.200294,0.955401
5.798766,8.074509,1.136168,0.937146
5.883997,8.126429,1.077021,0.922605
5.966033,8.183260,1.026182,0.912879
6.045070,8.244198,0.973056,0.908930
6.120721,8.309303,0.928028,0.910560
6.192828,8.378320,0.892463,0.897390
6.261419,8.450828,0.862203,0.879096
6.327418,8.525706,0.845749,0.868405
6.390556,8.603007,0.810403,0.858384
6.451077,8.682384,0.780213,0.845040
6.509412,8.763380,0.764702,0.829004
6.565335,8.846054,0.760860,0.816970
6.619209,8.930087,0.743386,0.814586
6.670904,9.015473,0.728518,0.800407
6.721092,9.101753,0.717595,0.774831
6.769349,9.189129,0.718751,0.754863
6.815992,9.277379,0.717772,0.742864
6.861101,9.366426,0.698706,0.730780
6.906051,9.455550,0.693801,0.721380
6.949339,9.545494,0.704821,0.711413
6.991962,9.635756,0.706536,0.701071
7.033621,9.726466,0.702646,0.695627
7.074965,9.817320,0.699182,0.698606
7.115907,9.908357,0.703976,0.701228
7.156363,9.999611,0.697368,0.696298
7.196946,10.090809,0.691526,0.681915
7.237371,10.182077,0.698173,0.675201
7.277925,10.273287,0.707653,0.672359
7.319542,10.364017,0.721039,0.676130
7.360640,10.454984,0.718011,0.684299
7.401742,10.545948,0.710601,0.682784
7.442865,10.636904,0.710560,0.686259
7.484666,10.727550,0.706849,0.690555
7.526085,10.818372,0.703199,0.678907
7.567025,10.909410,0.705931,0.667894
7.608418,11.000241,0.709833,0.672191
7.649950,11.091012,0.696931,0.690735
7.692492,11.181312,0.688592,0.685043
7.735421,11.271426,0.694219,0.694240
7.778164,11.361631,0.710392,0.708244
7.821553,11.451527,0.711839,0.697113
7.864707,11.541537,0.705944,0.696495
7.907681,11.631632,0.702426,0.709854
7.950999,11.721562,0.700246,0.717084
7.994251,11.811525,0.688603,0.704572
8.036593,11.901919,0.683901,0.691852
8.079097,11.992238,0.685276,0.682390
8.121633,12.082541,0.679686,0.685237
8.162919,12.173421,0.671048,0.688255
8.203135,12.264781,0.678337,0.690185
8.243032,12.356281,0.689473,0.676428
8.281685,12.448305,0.700337,0.661880
8.319437,12.540710,0.706319,0.653484
8.356785,12.633279,0.700409,0.659816
8.393584,12.726067,0.703252,0.660365
8.428811,12.819464,0.707389,0.652040
8.463080,12.913216,0.701966,0.644448
8.496059,13.007426,0.712012,0.650872
8.528152,13.101943,0.726563,0.633851
8.560503,13.196376,0.732769,0.627133
8.592355,13.290978,0.739574,0.621571
8.623573,13.385790,0.750459,0.613131
8.653607,13.480978,0.755953,0.608069
8.681752,13.576748,0.766814,0.617325
8.708548,13.672900,0.779844,0.640822
8.733440,13.769560,0.793351,0.665570
8.755595,13.866883,0.809947,0.688284
8.774364,13.964913,0.816718,0.716772
8.789411,14.063582,0.831203,0.754060
8.800349,14.162789,0.861049,0.798548
8.806674,14.262396,0.905115,0.848626
8.807745,14.362193,0.961858,0.902757
8.801731,14.461803,1.015853,0.958651
8.788428,14.560697,1.081583,1.015572
8.766581,14.658056,1.157886,1.069134
8.733192,14.752049,1.243949,1.112195
8.688143,14.840998,1.333018,1.143368
8.629677,14.921768,1.419037,1.160405
8.558812,14.991857,1.386280,1.169616
8.476375,15.047819,1.365297,1.169036
8.385428,15.088593,1.368759,1.159523
8.289109,15.114358,1.394991,1.142613
8.190068,15.126086,1.429560,1.113183
8.090320,15.125572,1.468155,1.079148
7.991202,15.114204,1.426295,1.043009
7.893705,15.092957,1.355363,1.005811
7.798288,15.063710,1.283858,0.969480
7.705452,15.027085,1.206993,0.933099
7.615578,14.983676,1.139087,0.890841
7.528650,14.934637,1.081364,0.852117
7.445033,14.880183,1.019822,0.817608
7.364804,14.820814,0.962414,0.788368
7.287298,14.757933,0.900726,0.766626
7.213084,14.691187,0.850793,0.752444
7.142481,14.620634,0.815086,0.746124
7.075632,14.546534,0.787064,0.738651
7.013283,14.468612,0.751132,0.727637
6.955626,14.387147,0.733034,0.710799
6.901588,14.303233,0.705289,0.689675
6.851867,14.216683,0.685349,0.670375
6.806014,14.128026,0.660229,0.661238
6.762741,14.038078,0.649173,0.664215
6.721697,13.947090,0.655797,0.679558
6.682662,13.855221,0.644692,0.698296
6.644714,13.762896,0.642826,0.686579
6.606739,13.670581,0.656289,0.674722
6.568578,13.578343,0.643267,0.667523
6.530193,13.486198,0.623035,0.671922
6.491516,13.394176,0.610241,0.675324
6.451718,13.302634,0.612418,0.669782
6.410040,13.211932,0.606580,0.673682
