x_m,y_m,w_tr_right_m,w_tr_left_m
1.680903,-4.619021,1.422427,1.581283
1.780657,-4.625362,1.425363,1.574939
1.880591,-4.627132,1.427133,1.573168
1.980501,-4.624309,1.427901,1.575990
2.080175,-4.616889,1.431060,1.583403
2.179388,-4.604748,1.436447,1.595528
2.277839,-4.587490,1.443599,1.612755
2.375301,-4.565314,1.452625,1.620594
2.471487,-4.538137,1.463325,1.632274
2.566194,-4.506181,1.475791,1.651843
2.659465,-4.470242,1.490706,1.666610
2.750044,-4.428036,1.497697,1.689547
2.837705,-4.380032,1.500216,1.715763
2.921382,-4.325382,1.501643,1.647081
3.000926,-4.264878,1.502555,1.577959
3.075895,-4.198785,1.502892,1.518012
3.146284,-4.127861,1.502516,1.468209
3.211417,-4.052061,1.494985,1.423572
3.271521,-3.972214,1.481057,1.385539
3.326910,-3.889020,1.461951,1.347742
3.377619,-3.802901,1.444020,1.313754
3.423142,-3.713915,1.426958,1.291424
3.465315,-3.623299,1.413048,1.266934
3.502777,-3.530627,1.399199,1.255090
3.537211,-3.436786,1.378389,1.247288
3.568049,-3.341710,1.359291,1.237394
3.595556,-3.245609,1.337993,1.222287
3.620179,-3.148736,1.320956,1.218227
3.642282,-3.051248,1.304147,1.224937
3.662694,-2.953398,1.290748,1.228716
3.680816,-2.855090,1.282673,1.233657
3.697552,-2.756542,1.278296,1.232115
3.713657,-2.657884,1.265722,1.239302
3.729378,-2.559166,1.256690,1.246389
3.745287,-2.460477,1.255764,1.254753
3.761297,-2.361806,1.249837,1.267844
3.778708,-2.263371,1.251354,1.275733
3.797049,-2.165106,1.240401,1.285567
3.815770,-2.066914,1.236757,1.293163
3.834839,-1.968790,1.241532,1.301268
3.854613,-1.870805,1.243872,1.301606
3.874529,-1.772849,1.242759,1.298729
3.895284,-1.675068,1.250519,1.298936
3.916264,-1.577332,1.251728,1.305591
3.938239,-1.479815,1.248480,1.305579
3.960309,-1.382319,1.243968,1.313102
3.983753,-1.285145,1.248882,1.324593
4.006689,-1.187852,1.252708,1.332317
4.031387,-1.090989,1.259783,1.345648
4.055281,-0.993923,1.255145,1.350350
4.080891,-0.897298,1.256753,1.354298
4.106846,-0.800763,1.263773,1.354175
4.132466,-0.704139,1.266355,1.361756
4.159731,-0.607966,1.278468,1.374894
4.187393,-0.511907,1.279822,1.384326
4.216257,-0.416205,1.287174,1.394213
4.247089,-0.321116,1.290737,1.405121
4.278992,-0.226381,1.302217,1.408868
4.312971,-0.132379,1.306384,1.413494
4.349155,-0.039196,1.309199,1.417409
4.387288,0.053201,1.321678,1.422620
4.428168,0.144419,1.344406,1.431834
4.471020,0.234728,1.357429,1.443708
4.516613,0.323675,1.372488,1.438554
4.564790,0.411261,1.397381,1.428224
4.615147,0.497598,1.419060,1.422338
4.668629,0.582048,1.435402,1.419814
4.724303,0.665067,1.455660,1.421706
4.782610,0.746254,1.478424,1.427407
4.843559,0.825477,1.490664,1.430451
4.907079,0.902650,1.502083,1.423446
4.973804,0.977082,1.515636,1.419225
5.042333,1.049855,1.515243,1.419588
5.113922,1.119608,1.505139,1.418289
5.187429,1.187343,1.495394,1.414207
5.263142,1.252609,1.495607,1.411225
5.341234,1.315010,1.488015,1.411595
5.421276,1.374883,1.471208,1.415847
5.503388,1.431873,1.463930,1.416732
5.587315,1.486172,1.463734,1.414985
5.673003,1.537625,1.457132,1.416950
5.760299,1.586324,1.454631,1.422766
5.848982,1.632432,1.446502,1.431292
5.939246,1.675377,1.432079,1.430327
6.030323,1.716577,1.420272,1.429327
6.122613,1.754967,1.418505,1.432254
6.215938,1.790785,1.426528,1.436008
6.309893,1.824913,1.426178,1.428974
6.404503,1.857168,1.431487,1.426325
6.499964,1.886827,1.428150,1.421412
6.595758,1.915396,1.428859,1.410059
6.691828,1.943021,1.428627,1.404756
6.788358,1.968979,1.426095,1.404828
6.885245,1.993589,1.429928,1.410606
6.982190,2.017966,1.430773,1.413506
7.079202,2.042071,1.436077,1.419579
7.176379,2.065507,1.437073,1.418941
7.273670,2.088458,1.426091,1.417805
7.370943,2.111491,1.420645,1.410972
7.468555,2.133038,1.423744,1.409680
7.566215,2.154371,1.431056,1.415246
7.663910,2.175542,1.430829,1.421014
7.761843,2.195552,1.423613,1.415215
7.859863,2.215161,1.423806,1.407034
7.957852,2.234929,1.422950,1.406092
8.055964,2.254065,1.417732,1.411602
8.154308,2.271977,1.420796,1.409856
8.252525,2.290573,1.419045,1.408882
8.350781,2.308964,1.415716,1.414779
8.449257,2.326144,1.420664,1.410376
8.547888,2.342413,1.409917,1.408193
8.646380,2.359498,1.402043,1.413919
8.745038,2.375598,1.402271,1.415863
8.843721,2.391513,1.409792,1.414324
8.942391,2.407536,1.406226,1.419948
9.041147,2.423022,1.408226,1.423391
9.139868,2.438707,1.411367,1.415982
9.238800,2.453031,1.401564,1.414233
9.337720,2.467422,1.398786,1.413487
9.436654,2.481693,1.403261,1.405755
9.535717,2.495060,1.405283,1.404196
9.634666,2.509264,1.391060,1.410582
9.733590,2.523621,1.382403,1.413458
9.832598,2.537397,1.381535,1.408378
9.931586,2.551303,1.387753,1.408601
10.030415,2.566322,1.384458,1.404112
10.129281,2.581090,1.369660,1.399250
10.227982,2.596917,1.360729,1.402587
10.326867,2.611540,1.360328,1.411800
10.425835,2.625614,1.367806,1.409520
10.524698,2.640384,1.361006,1.405920
10.623684,2.654329,1.355206,1.408587
10.722722,2.667879,1.351369,1.398198
10.821884,2.680483,1.354540,1.393556
10.920834,2.694682,1.355491,1.397679
11.019773,2.708958,1.341234,1.408874
11.118840,2.722281,1.329914,1.399101
11.217793,2.736450,1.325200,1.397286
11.316890,2.749585,1.329055,1.401571
11.415978,2.762775,1.337237,1.408166
11.515084,2.775802,1.324214,1.399334
11.614333,2.787716,1.315547,1.396490
11.713547,2.799928,1.314146,1.391321
11.812679,2.812746,1.319725,1.383363
11.911854,2.825264,1.325491,1.382303
12.011027,2.837802,1.317533,1.388477
12.110206,2.850281,1.317194,1.383538
12.209221,2.864018,1.323160,1.381606
12.308291,2.877349,1.336999,1.382626
12.407375,2.890583,1.349653,1.373911
12.506269,2.905134,1.363137,1.369244
12.604922,2.921265,1.372884,1.360622
12.703348,2.938724,1.384338,1.360662
12.801527,2.957521,1.390609,1.369378
12.899243,2.978554,1.399353,1.378389
12.996198,3.002880,1.411796,1.379624
13.092471,3.029770,1.416713,1.379121
13.187957,3.059338,1.424725,1.386750
13.281972,3.093296,1.431501,1.406018
13.374562,3.130960,1.438403,1.424715
13.465750,3.171900,1.448649,1.440247
13.554677,3.217517,1.457490,1.459964
13.641147,3.267640,1.452593,1.491021
13.725250,3.321648,1.449356,1.519813
13.806647,3.379637,1.448196,1.548297
13.884337,3.442508,1.438599,1.575161
13.958196,3.509849,1.426191,1.586882
14.029207,3.580197,1.416585,1.596375
14.096901,3.653734,1.409398,1.596560
14.160689,3.730682,1.404094,1.604962
14.220165,3.811023,1.400409,1.597887
14.275722,3.894114,1.399067,1.588363
14.326368,3.980276,1.394485,1.590887
14.373137,4.068611,1.383724,1.588565
14.414912,4.159403,1.374574,1.584497
14.451913,4.252258,1.367458,1.590504
14.485449,4.346418,1.360436,1.590476
14.515423,4.441771,1.353705,1.588434
14.541424,4.538278,1.350199,1.591374
14.564489,4.635540,1.351058,1.592171
14.584671,4.733441,1.356349,1.584137
14.601754,4.831931,1.360023,1.585542
14.615394,4.930955,1.366336,1.592835
14.625471,5.030402,1.376334,1.596040
14.631983,5.130146,1.382833,1.603909
14.634873,5.230059,1.392800,1.615231
14.634086,5.330010,1.406188,1.616018
14.629688,5.429869,1.422948,1.620417
14.621807,5.529515,1.443058,1.628301
14.610411,5.628819,1.466317,1.634308
14.594173,5.727451,1.491251,1.633598
14.573909,5.825322,1.518469,1.638598
14.549697,5.922306,1.546697,1.645792
14.520051,6.017751,1.559149,1.655340
14.484751,6.111261,1.571977,1.676664
14.444176,6.202595,1.585393,1.699580
14.398350,6.291422,1.599229,1.718199
14.347747,6.377593,1.613773,1.745776
14.291697,6.460347,1.628015,1.756844
14.231660,6.540245,1.642075,1.770210
14.166912,6.616368,1.650124,1.779837
14.097834,6.688612,1.653660,1.785358
14.025272,6.757345,1.658287,1.748149
13.948484,6.821335,1.662579,1.694975
13.868919,6.881845,1.668419,1.644773
13.786374,6.938203,1.667879,1.602405
13.701531,6.991044,1.665080,1.562313
13.614203,7.039656,1.654854,1.522210
13.525337,7.085425,1.644580,1.490832
13.435157,7.128544,1.637388,1.468507
13.343415,7.168234,1.632514,1.443199
13.250055,7.203951,1.629463,1.422811
13.155840,7.237350,1.616165,1.407884
13.060688,7.267952,1.602913,1.384651
12.964573,7.295420,1.592549,1.366618
12.867819,7.320518,1.585967,1.358184
12.770511,7.343403,1.567850,1.359360
12.672878,7.364841,1.552579,1.349107
12.574930,7.384813,1.540287,1.347092
12.476912,7.404439,1.518396,1.345600
12.378811,7.423633,1.502064,1.330790
12.280552,7.442011,1.491436,1.324216
12.182446,7.461189,1.484872,1.324357
12.084441,7.480854,1.476413,1.324923
11.986136,7.498982,1.468025,1.319806
11.887904,7.517499,1.459278,1.321852
11.789613,7.535696,1.450191,1.314890
11.691414,7.554384,1.442513,1.302889
11.593107,7.572483,1.432541,1.299091
11.495165,7.592486,1.427121,1.301041
11.397129,7.612018,1.417790,1.296986
11.299052,7.631347,1.412636,1.293175
11.201272,7.652126,1.403744,1.295603
11.103403,7.672485,1.399736,1.279278
11.005461,7.692483,1.390078,1.268306
10.907629,7.713004,1.388108,1.264627
10.809654,7.732834,1.385496,1.269540
10.711858,7.753526,1.371244,1.259331
10.613937,7.773629,1.363585,1.257356
10.515915,7.793215,1.361655,1.256791
10.417994,7.813305,1.354907,1.240277
10.319908,7.832581,1.354685,1.232511
10.221568,7.850513,1.337029,1.234194
10.123263,7.868646,1.322862,1.236235
10.025012,7.887062,1.316446,1.230128
9.926838,7.905866,1.317998,1.224470
9.828476,7.923682,1.314202,1.227960
9.730229,7.942125,1.316261,1.228396
9.631798,7.959553,1.305139,1.233233
9.533369,7.976990,1.297785,1.246088
9.434960,7.994550,1.284815,1.248091
9.336547,8.012088,1.273643,1.254372
9.238165,8.029795,1.267499,1.268355
9.140235,8.049857,1.261094,1.283550
9.042513,8.070907,1.254988,1.302276
8.945261,8.093987,1.250747,1.320582
8.848662,8.119697,1.250515,1.333663
