x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
1.737494,-3.976133,2.1651,0.8743,-0.066629,0.514395,2.6801
1.912345,-3.979956,2.1516,0.8585,0.022799,0.518598,2.7772
2.084470,-3.968221,2.1903,0.9032,0.115278,0.553397,2.6885
2.253120,-3.940497,2.1821,0.9119,0.213629,0.620305,2.4761
2.411105,-3.897361,2.1497,0.9008,0.321548,0.744637,2.2690
2.548188,-3.842208,2.1574,0.9383,0.450468,0.938605,2.0644
2.674361,-3.770042,2.1346,0.9598,0.593993,0.942330,2.0603
2.799249,-3.672653,2.0411,0.9245,0.726592,0.727297,2.2793
2.924398,-3.547809,1.9223,0.8823,0.835378,0.514903,2.5011
3.050780,-3.394633,1.8216,0.8807,0.917522,0.335463,2.7289
3.177307,-3.217374,1.7190,0.8990,0.977340,0.225302,2.9587
3.303793,-3.019562,1.6456,0.9710,1.021589,0.157397,3.1879
3.430366,-2.803890,1.5601,1.0490,1.052804,0.097620,3.4151
3.556627,-2.575915,1.4760,1.1395,1.071633,0.049882,3.6368
3.682162,-2.342062,1.3896,1.2270,1.079272,0.008635,3.8496
3.806391,-2.109369,1.3017,1.2998,1.080162,-0.001963,4.0000
3.929552,-1.878962,1.2221,1.3724,1.079141,-0.005874,4.0000
4.052169,-1.650414,1.1636,1.4604,1.076468,-0.014831,4.0000
4.174547,-1.424393,1.0851,1.5215,1.072205,-0.018311,4.0000
4.297277,-1.200241,1.0201,1.5892,1.066818,-0.023827,4.0000
4.420898,-0.977683,0.9470,1.6454,1.058485,-0.042080,4.0000
4.545295,-0.759240,0.8769,1.7016,1.044398,-0.071472,4.0000
4.669909,-0.549159,0.8513,1.7965,1.022907,-0.107056,4.0000
4.794165,-0.351392,0.7932,1.8481,0.995017,-0.132715,4.0000
4.918538,-0.166153,0.7755,1.9249,0.962616,-0.157977,4.0000
5.043816,0.007191,0.7648,1.9930,0.926177,-0.182193,4.0000
5.171095,0.169806,0.7760,2.0665,0.885708,-0.209601,4.0000
5.301139,0.322108,0.7889,2.1273,0.840749,-0.240678,4.0000
5.433851,0.463387,0.7787,2.1500,0.792234,-0.255141,3.9595
5.571666,0.596360,0.7452,2.1344,0.742297,-0.263352,3.8973
5.716107,0.722303,0.7444,2.1387,0.691708,-0.265603,3.8807
5.866457,0.840509,0.7521,2.1387,0.641188,-0.258943,3.9303
6.024613,0.952570,0.7371,2.1019,0.592081,-0.242680,4.0000
6.193798,1.060670,0.7594,2.0888,0.546270,-0.213435,4.0000
6.374596,1.165354,0.8134,2.0953,0.505316,-0.180180,4.0000
6.566206,1.266696,0.8372,2.0601,0.468605,-0.157238,4.0000
6.770872,1.365954,0.8785,2.0315,0.436249,-0.128498,4.0000
