x_m,y_m,w_tr_right_m,w_tr_left_m
4.137288,0.258024,0.944306,0.998995
4.223461,0.207810,1.022443,1.012344
4.315206,0.168615,0.983579,1.013093
4.410978,0.140632,0.955810,1.007676
4.509065,0.122362,0.937653,1.002138
4.608071,0.109935,0.925290,1.000606
4.707766,0.105815,0.921188,1.000689
4.807559,0.107256,0.922635,1.005153
4.907353,0.109102,0.924487,1.019019
5.007136,0.111418,0.926808,1.041849
5.106908,0.114153,0.929549,1.070972
5.206682,0.116867,0.932268,1.102471
5.306376,0.121225,0.936633,1.140354
5.405418,0.133269,0.948664,1.173495
5.502618,0.155574,0.970803,1.202002
5.596154,0.190102,1.005014,1.225887
5.683678,0.237812,1.052284,1.243344
5.762357,0.299020,1.060839,1.252645
5.829474,0.372728,0.998328,1.247982
5.883844,0.456220,0.944072,1.227373
5.924732,0.547191,0.903381,1.196273
5.956361,0.641805,0.874313,1.163201
5.982488,0.738116,0.861680,1.132345
6.002107,0.835949,0.867172,1.103115
6.015945,0.934780,0.861990,1.055431
6.025358,1.034138,0.852589,1.000399
6.032090,1.133720,0.845865,0.946780
6.038255,1.233339,0.839708,0.895346
6.044198,1.332964,0.833772,0.852337
6.049219,1.432644,0.828758,0.818400
6.050145,1.532442,0.827835,0.791593
6.048264,1.632231,0.829718,0.773982
6.044709,1.731973,0.833277,0.767350
6.041817,1.831739,0.836172,0.764460
6.038814,1.931493,0.839178,0.771336
6.037092,2.031289,0.840903,0.792087
6.033478,2.131019,0.844521,0.790490
6.028834,2.230720,0.849169,0.762599
6.025283,2.330467,0.832232,0.748191
6.022651,2.430242,0.816630,0.745563
6.022589,2.530028,0.810501,0.745500
6.026708,2.629750,0.801094,0.749618
6.033247,2.729343,0.794554,0.756160
6.037970,2.829039,0.789830,0.760883
6.042970,2.928724,0.784830,0.765882
6.048285,3.028393,0.779515,0.771197
6.053742,3.128054,0.774058,0.776655
6.059170,3.227716,0.775061,0.782082
6.064395,3.327390,0.788994,0.787308
6.069245,3.427082,0.801631,0.792158
6.073548,3.526799,0.770937,0.796460
6.077130,3.626545,0.753046,0.800040
6.079817,3.726318,0.749051,0.783279
6.081435,3.826115,0.747428,0.763987
6.081810,3.925924,0.747046,0.756219
6.080768,4.025727,0.748079,0.760158
6.078136,4.125501,0.750699,0.775455
6.077800,4.225306,0.751027,0.800038
6.079067,4.325096,0.749753,0.776935
6.081222,4.424882,0.747594,0.763751
6.081837,4.524689,0.746972,0.761959
6.081085,4.624495,0.747716,0.771810
6.079140,4.724286,0.749651,0.793035
6.076177,4.824052,0.764239,0.799893
6.072369,4.923789,0.792043,0.796089
6.067890,5.023499,0.810963,0.791614
6.062915,5.123185,0.815946,0.786642
6.057614,5.222854,0.821253,0.781345
6.052162,5.322515,0.826713,0.775895
6.046730,5.422178,0.832152,0.770466
6.041490,5.521850,0.837399,0.765230
6.036616,5.621541,0.842280,0.760359
6.032279,5.721257,0.846623,0.756027
6.028653,5.821001,0.829558,0.752406
6.025913,5.920773,0.811233,0.749671
6.024232,6.020569,0.803897,0.747994
6.023785,6.120377,0.804348,0.747549
6.024745,6.220181,0.803392,0.748508
6.027285,6.319957,0.800858,0.751042
6.027800,6.419759,0.800347,0.751557
6.027800,6.519570,0.800351,0.751559
6.027800,6.619380,0.800355,0.764500
6.027800,6.719190,0.800359,0.789939
6.027800,6.819000,0.800363,0.800586
6.027800,6.918811,0.800367,0.800585
6.027800,7.018621,0.800371,0.800584
6.027800,7.118431,0.800375,0.800583
6.027800,7.218242,0.803536,0.800582
6.027800,7.318052,0.818941,0.800581
6.027800,7.417862,0.845921,0.800580
6.025427,7.517637,0.852384,0.798210
6.023949,7.617435,0.852423,0.796732
6.023936,7.717244,0.824614,0.796719
6.025217,7.817045,0.806970,0.797997
6.027616,7.916826,0.800339,0.800395
6.030959,8.016580,0.796993,0.803737
6.035073,8.116305,0.792876,0.807850
6.039783,8.216004,0.788162,0.812560
6.044917,8.315682,0.783024,0.817695
6.050302,8.415347,0.777634,0.823081
6.055766,8.515007,0.772166,0.828545
6.061136,8.614673,0.766792,0.810986
6.066240,8.714353,0.761683,0.796116
6.070906,8.814054,0.757014,0.793177
6.074960,8.913781,0.752957,0.797231
6.078229,9.013538,0.749686,0.800500
6.080538,9.113320,0.747374,0.776232
6.081714,9.213123,0.746196,0.759235
6.081582,9.312932,0.746326,0.753849
6.079969,9.412727,0.747936,0.752236
6.077800,9.512505,0.750101,0.750068
6.077800,9.612315,0.750099,0.750068
6.077800,9.712126,0.750097,0.750068
6.077800,9.811936,0.750095,0.750069
6.077800,9.911746,0.750093,0.750069
6.077800,10.011556,0.750091,0.750069
6.080022,10.111333,0.747866,0.752292
6.081600,10.211129,0.746286,0.753869
6.081700,10.310938,0.746184,0.753970
6.080497,10.410741,0.747385,0.752767
6.078164,10.510523,0.749715,0.750434
6.074876,10.610278,0.753001,0.747146
6.070806,10.710005,0.757067,0.743075
6.066129,10.809706,0.761741,0.738397
6.061017,10.909385,0.766849,0.733284
6.055642,11.009050,0.772219,0.727909
6.048030,11.108561,0.779825,0.720294
6.041753,11.208156,0.786098,0.714014
6.036778,11.307833,0.791070,0.709038
6.032477,11.407548,0.795368,0.713054
6.029997,11.507326,0.797846,0.719869
6.030028,11.607119,0.795362,0.742086
6.033649,11.706863,0.763602,0.756438
6.037522,11.806598,0.743724,0.760307
6.041822,11.906316,0.736519,0.764600
6.046719,12.006005,0.731615,0.769490
6.051571,12.105688,0.726757,0.762247
6.053228,12.205484,0.719959,0.740635
6.054017,12.305290,0.690666,0.727902
6.053936,12.405100,0.675865,0.713652
6.052986,12.504905,0.676508,0.687312
6.053231,12.604708,0.676253,0.658984
6.052224,12.704509,0.667059,0.633660
6.048862,12.804260,0.642603,0.600870
6.043324,12.903914,0.635291,0.572215
6.037818,13.003567,0.640805,0.560155
6.030860,13.103129,0.622884,0.553194
6.026961,13.202856,0.611241,0.549294
6.020254,13.302405,0.607680,0.542584
6.016990,13.402158,0.610947,0.550625
6.011199,13.501796,0.598380,0.573716
6.006531,13.601496,0.578742,0.593619
5.999370,13.701022,0.578470,0.616724
5.987758,13.800144,0.590073,0.650350
5.971708,13.898644,0.606109,0.692892
5.951014,13.996274,0.603316,0.736668
5.924765,14.092556,0.608406,0.780399
5.892550,14.186997,0.635399,0.824533
5.853982,14.279015,0.673843,0.862490
5.808518,14.367821,0.694235,0.893267
5.754576,14.451769,0.730175,0.914547
5.693394,14.530588,0.784705,0.929038
5.624691,14.602864,0.854536,0.943560
5.548274,14.666970,0.921871,0.947854
