x_m,y_m
10.341800,0.317200
10.391800,0.267200
10.441800,0.267200
10.491800,0.267200
10.541800,0.267200
10.591800,0.267200
10.641800,0.267200
10.691800,0.267200
10.741800,0.267200
10.791800,0.267200
10.841800,0.267200
10.891800,0.267200
10.941800,0.267200
10.991800,0.267200
11.041800,0.317200
11.091800,0.317200
11.141800,0.317200
11.191800,0.317200
11.241800,0.317200
11.291800,0.317200
11.341800,0.317200
11.391800,0.317200
11.441800,0.317200
11.491800,0.317200
11.541800,0.317200
11.591800,0.317200
11.641800,0.317200
11.691800,0.317200
11.741800,0.317200
11.791800,0.317200
11.841800,0.267200
11.891800,0.267200
11.941800,0.267200
11.991800,0.267200
12.041800,0.267200
12.091800,0.267200
12.141800,0.267200
12.191800,0.267200
12.241800,0.267200
12.291800,0.267200
12.341800,0.267200
12.391800,0.317200
12.441800,0.367200
12.491800,0.417200
12.541800,0.467200
12.591800,0.517200
12.591800,0.567200
12.591800,0.617200
12.591800,0.667200
12.591800,0.717200
12.591800,0.767200
12.591800,0.817200
12.641800,0.867200
12.641800,0.917200
12.691800,0.967200
12.691800,1.017200
12.691800,1.067200
12.691800,1.117200
12.691800,1.167200
12.691800,1.217200
12.691800,1.267200
12.691800,1.317200
12.691800,1.367200
12.691800,1.417200
12.691800,1.467200
12.691800,1.517200
12.691800,1.567200
12.691800,1.617200
12.691800,1.667200
12.691800,1.717200
12.691800,1.767200
12.691800,1.817200
12.691800,1.867200
12.691800,1.917200
12.691800,1.967200
12.691800,2.017200
12.691800,2.067200
12.691800,2.117200
12.691800,2.167200
12.691800,2.217200
12.691800,2.267200
12.691800,2.317200
12.691800,2.367200
12.741800,2.417200
12.741800,2.467200
12.741800,2.517200
12.741800,2.567200
12.741800,2.617200
12.741800,2.667200
12.741800,2.717200
12.741800,2.767200
12.741800,2.817200
12.741800,2.867200
12.791800,2.917200
12.791800,2.967200
12.791800,3.017200
12.791800,3.067200
12.791800,3.117200
12.791800,3.167200
12.791800,3.217200
12.791800,3.267200
12.791800,3.317200
12.791800,3.367200
12.741800,3.417200
12.741800,3.467200
12.741800,3.517200
12.741800,3.567200
12.741800,3.617200
12.691800,3.667200
12.691800,3.717200
12.641800,3.767200
12.591800,3.817200
12.541800,3.867200
12.491800,3.917200
12.441800,3.967200
12.391800,4.017200
12.341800,4.067200
12.291800,4.117200
12.241800,4.117200
12.191800,4.167200
12.141800,4.167200
12.091800,4.167200
12.041800,4.167200
11.991800,4.217200
11.941800,4.217200
11.891800,4.217200
11.841800,4.217200
11.791800,4.217200
11.741800,4.217200
11.691800,4.267200
11.641800,4.267200
11.591800,4.267200
11.541800,4.267200
11.491800,4.267200
11.441800,4.267200
11.391800,4.267200
11.341800,4.267200
11.291800,4.267200
11.241800,4.267200
11.191800,4.267200
11.141800,4.267200
11.091800,4.267200
11.041800,4.267200
10.991800,4.267200
10.941800,4.267200
10.891800,4.267200
10.841800,4.267200
10.791800,4.267200
10.741800,4.317200
10.691800,4.317200
10.641800,4.317200
10.591800,4.317200
10.541800,4.317200
10.491800,4.267200
10.441800,4.267200
10.391800,4.267200
10.341800,4.267200
10.291800,4.267200
10.241800,4.267200
10.191800,4.267200
10.141800,4.217200
10.091800,4.167200
10.041800,4.117200
9.991800,4.067200
9.941800,4.017200
9.941800,3.967200
9.941800,3.917200
9.941800,3.867200
9.891800,3.817200
9.841800,3.767200
9.841800,3.717200
9.841800,3.667200
9.841800,3.617200
9.841800,3.567200
9.841800,3.517200
9.841800,3.467200
9.841800,3.417200
9.841800,3.367200
9.841800,3.317200
9.841800,3.267200
9.841800,3.217200
9.841800,3.167200
9.841800,3.117200
9.841800,3.067200
9.841800,3.017200
9.841800,2.967200
9.841800,2.917200
9.841800,2.867200
9.841800,2.817200
9.841800,2.767200
9.841800,2.717200
9.841800,2.667200
9.841800,2.617200
9.841800,2.567200
9.841800,2.517200
9.841800,2.467200
9.841800,2.417200
9.791800,2.367200
9.791800,2.317200
9.791800,2.267200
9.791800,2.217200
9.791800,2.167200
9.791800,2.117200
9.791800,2.067200
9.791800,2.017200
9.791800,1.967200
9.791800,1.917200
9.791800,1.867200
9.791800,1.817200
9.791800,1.767200
9.791800,1.717200
9.791800,1.667200
9.791800,1.617200
9.791800,1.567200
9.791800,1.517200
9.791800,1.467200
9.791800,1.417200
9.741800,1.417200
9.691800,1.417200
9.641800,1.417200
9.591800,1.417200
9.541800,1.417200
9.491800,1.417200
9.441800,1.417200
9.391800,1.417200
9.341800,1.417200
9.291800,1.417200
9.241800,1.417200
9.191800,1.417200
9.141800,1.417200
