x_m,y_m
-5.708200,-8.482800
-5.708200,-8.432800
-5.708200,-8.382800
-5.708200,-8.332800
-5.708200,-8.282800
-5.708200,-8.232800
-5.708200,-8.182800
-5.708200,-8.132800
-5.708200,-8.082800
-5.708200,-8.032800
-5.708200,-7.982800
-5.708200,-7.932800
-5.708200,-7.882800
-5.708200,-7.832800
-5.708200,-7.782800
-5.708200,-7.732800
-5.708200,-7.682800
-5.708200,-7.632800
-5.708200,-7.582800
-5.708200,-7.532800
-5.708200,-7.482800
-5.708200,-7.432800
-5.708200,-7.382800
-5.708200,-7.332800
-5.708200,-7.282800
-5.708200,-7.232800
-5.708200,-7.182800
-5.708200,-7.132800
-5.708200,-7.082800
-5.708200,-7.032800
-5.708200,-6.982800
-5.708200,-6.932800
-5.708200,-6.882800
-5.708200,-6.832800
-5.708200,-6.782800
-5.708200,-6.732800
-5.708200,-6.682800
-5.708200,-6.632800
-5.708200,-6.582800
-5.708200,-6.532800
-5.708200,-6.482800
-5.708200,-6.432800
-5.708200,-6.382800
-5.708200,-6.332800
-5.708200,-6.282800
-5.708200,-6.232800
-5.708200,-6.182800
-5.708200,-6.132800
-5.708200,-6.082800
-5.708200,-6.032800
-5.708200,-5.982800
-5.708200,-5.932800
-5.708200,-5.882800
-5.708200,-5.832800
-5.708200,-5.782800
-5.708200,-5.732800
-5.708200,-5.682800
-5.708200,-5.632800
-5.708200,-5.582800
-5.708200,-5.532800
-5.708200,-5.482800
-5.708200,-5.432800
-5.708200,-5.382800
-5.708200,-5.332800
-5.708200,-5.282800
-5.708200,-5.232800
-5.708200,-5.182800
-5.708200,-5.132800
-5.708200,-5.082800
-5.708200,-5.032800
-5.708200,-4.982800
-5.708200,-4.932800
-5.708200,-4.882800
-5.708200,-4.832800
-5.708200,-4.782800
-5.708200,-4.732800
-5.708200,-4.682800
-5.708200,-4.632800
-5.708200,-4.582800
-5.708200,-4.532800
-5.708200,-4.482800
-5.708200,-4.432800
-5.708200,-4.382800
-5.708200,-4.332800
-5.708200,-4.282800
-5.708200,-4.232800
-5.708200,-4.182800
-5.708200,-4.132800
-5.708200,-4.082800
-5.708200,-4.032800
-5.708200,-3.982800
-5.708200,-3.932800
-5.708200,-3.882800
-5.708200,-3.832800
-5.708200,-3.782800
-5.708200,-3.732800
-5.708200,-3.682800
-5.708200,-3.632800
-5.708200,-3.582800
-5.708200,-3.532800
-5.708200,-3.482800
-5.708200,-3.432800
-5.708200,-3.382800
-5.708200,-3.332800
-5.708200,-3.282800
-5.708200,-3.232800
-5.708200,-3.182800
-5.708200,-3.132800
-5.708200,-3.082800
-5.708200,-3.032800
-5.708200,-2.982800
-5.708200,-2.932800
-5.708200,-2.882800
-5.708200,-2.832800
-5.708200,-2.782800
-5.708200,-2.732800
-5.708200,-2.682800
-5.708200,-2.632800
-5.708200,-2.582800
-5.708200,-2.532800
-5.708200,-2.482800
-5.708200,-2.432800
-5.708200,-2.382800
-5.708200,-2.332800
-5.708200,-2.282800
-5.708200,-2.232800
-5.708200,-2.182800
-5.708200,-2.132800
-5.708200,-2.082800
-5.708200,-2.032800
-5.708200,-1.982800
-5.708200,-1.932800
-5.708200,-1.882800
-5.708200,-1.832800
-5.708200,-1.782800
-5.708200,-1.732800
-5.708200,-1.682800
-5.708200,-1.632800
-5.708200,-1.582800
-5.708200,-1.532800
-5.708200,-1.482800
-5.708200,-1.432800
-5.708200,-1.382800
-5.708200,-1.332800
-5.708200,-1.282800
-5.708200,-1.232800
-5.708200,-1.182800
-5.708200,-1.132800
-5.708200,-1.082800
-5.708200,-1.032800
-5.708200,-0.982800
-5.708200,-0.932800
-5.708200,-0.882800
-5.708200,-0.832800
-5.708200,-0.782800
-5.708200,-0.732800
-5.708200,-0.682800
-5.708200,-0.632800
-5.708200,-0.582800
-5.708200,-0.532800
-5.708200,-0.482800
-5.708200,-0.432800
-5.708200,-0.382800
-5.708200,-0.332800
-5.708200,-0.282800
-5.708200,-0.232800
-5.708200,-0.182800
-5.708200,-0.132800
-5.708200,-0.082800
-5.708200,-0.032800
-5.708200,0.017200
-5.708200,0.067200
-5.708200,0.117200
-5.708200,0.167200
-5.708200,0.217200
-5.708200,0.267200
-5.708200,0.317200
-5.708200,0.367200
-5.708200,0.417200
