s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right,d_left
0.000000000000000000e+00,1.129965188375098428e+01,-5.910108619720750855e-01,-1.380960570540104237e+00,2.301021906760871982e-01,3.660665111745986078e+00,-1.547155452463683245e+00,5.417067859512828543e-01,8.993000534993421669e-01
9.973469259873886383e-02,1.139736703823859365e+01,-5.710515719450134364e-01,-1.357476963963157646e+00,2.408450899273518186e-01,3.618267391092924168e+00,-1.469746646193340833e+00,5.616283219723193776e-01,8.879835725525409007e-01
1.994693851974777277e-01,1.149457376255826624e+01,-5.487511648048114532e-01,-1.332914738510071917e+00,2.517256055744426235e-01,3.577525604874709497e+00,-1.392801169855479415e+00,5.843929929644019472e-01,8.656540775910254171e-01
2.992040777962166054e-01,1.159119044918089259e+01,-5.240173512012454848e-01,-1.307260126616180740e+00,2.627646984411591280e-01,3.538483892923741436e+00,-1.315618227073470647e+00,6.140205860859386799e-01,8.238285247673146072e-01
3.989387703949554553e-01,1.168712488542764127e+01,-4.967604262230492784e-01,-1.280495253731376959e+00,2.739820920928182635e-01,3.501205892485018456e+00,-1.237354173817492464e+00,6.496480325919244958e-01,7.791612059863147755e-01
4.986734629936943053e-01,1.178227922231919322e+01,-4.668922291269052560e-01,-1.252602234515997726e+00,2.854044909876788938e-01,3.465779627334794277e+00,-1.157157198071678605e+00,6.904837963040512117e-01,7.396526698740195638e-01
5.984081555924332108e-01,1.187654386592807576e+01,-4.343281223293672944e-01,-1.223558161565651670e+00,2.970548382628744877e-01,3.432318602690128007e+00,-1.073938349121534630e+00,7.400958098087867532e-01,7.021918526513875047e-01
6.981428481911720052e-01,1.196980297110408742e+01,-3.989855587060613940e-01,-1.193340103950854214e+00,3.089672558022376614e-01,3.400969445339585118e+00,-9.866016292150945333e-01,7.837644549799179794e-01,6.661738621333930244e-01
7.978775407899109107e-01,1.206192769720255775e+01,-3.607867093333354536e-01,-1.161918991289246028e+00,3.211681881649487980e-01,3.371912861821770413e+00,-8.936865171670407282e-01,8.220482988070385577e-01,6.280930249189529135e-01
8.976122333886498161e-01,1.215278227318393078e+01,-3.196565366434316324e-01,-1.129265758806165865e+00,3.337005028007988261e-01,3.345374903890518503e+00,-7.936945962264739807e-01,8.631789249112445939e-01,5.869920510070539832e-01
9.973469259873886106e-01,1.224221655491900762e+01,-2.755262520361417278e-01,-1.095343816195514020e+00,3.465954401499211079e-01,3.321628437142938761e+00,-6.845454026794491886e-01,9.070969050727407668e-01,5.425196739581593652e-01
1.097081618586127405e+00,1.233007270837436842e+01,-2.283307584620359043e-01,-1.060116425272466856e+00,3.599100923603696378e-01,3.301010394382970059e+00,-5.641340894893908109e-01,9.538581924469686779e-01,4.992554158346323989e-01
1.196816311184866422e+00,1.241617697813932253e+01,-1.780131635726413530e-01,-1.023537576408047212e+00,3.736783128107027951e-01,3.283921762744207662e+00,-4.295583870711006669e-01,1.003382961548391128e+00,4.586114654722472928e-01
1.296551003783605216e+00,1.250034708687695328e+01,-1.245214448898290527e-01,-9.855616827719223538e-01,3.879643126740313086e-01,3.270849797292674666e+00,-2.798244127377015333e-01,1.055491070523449038e+00,4.268802176565431039e-01
1.396285696382344010e+00,1.258238318499491015e+01,-6.781436876443726336e-02,-9.461319402841791293e-01,4.026431067605035219e-01,3.262306238365352495e+00,-1.654875759000932200e-01,1.110240613014153555e+00,3.973798383855837169e-01
1.496020388981083027e+00,1.266208130570272772e+01,-7.863672375274221790e-03,-9.054351862214303770e-01,4.135840546827198594e-01,3.257243050166027221e+00,-4.098346215158008010e-02,1.167814780318619627e+00,3.721542667475596367e-01
1.595755081579821821e+00,1.273923705119532990e+01,5.532136908133084008e-02,-8.636116857973481498e-01,4.244699436023084416e-01,3.255987921024315668e+00,-4.098346215157117750e-02,1.230952812544747754e+00,3.540843442527405460e-01
1.695489774178560616e+00,1.281366713438959692e+01,1.216960950129563623e-01,-8.215764797113316309e-01,4.185975689871405114e-01,3.254732307864597107e+00,3.202340915633320600e-02,1.298132301264556920e+00,3.471791564542443531e-01
1.795224466777299632e+00,1.288526279915459583e+01,1.911210207206856249e-01,-7.800887587290856739e-01,4.132807098577976346e-01,3.255713452623548498e+00,9.164658349049231711e-02,1.368861549156430435e+00,3.523761359047202779e-01
1.894959159376038427e+00,1.295394054594396493e+01,2.634324394501130207e-01,-7.393227089749069281e-01,4.043110712250451710e-01,3.258519721170679784e+00,1.890027199428692684e-01,1.445252014946672325e+00,3.702032198864050883e-01
1.994693851974777221e+00,1.301964771256883679e+01,3.384548977839943462e-01,-6.994189362129538123e-01,3.960024014928184566e-01,3.264299469963793054e+00,2.702921483391448887e-01,1.525053404252720402e+00,3.996591381341938476e-01
2.094428544573516238e+00,1.308234067542668022e+01,4.160131894829960930e-01,-6.603126220233794808e-01,3.882955192736582406e-01,3.272547331706420870e+00,3.380691565627550466e-01,1.589115756869206253e+00,4.388781737058086718e-01
2.194163237172254810e+00,1.314198398954731850e+01,4.959416547535208108e-01,-6.219462418984975649e-01,3.811750053650343473e-01,3.282834215289072155e+00,3.939787866009600292e-01,1.539098956502626514e+00,4.877092186590438749e-01
2.293897929770993827e+00,1.319854573583054069e+01,5.780791396096284229e-01,-5.842618590958879032e-01,3.745999476987781907e-01,3.294781812414406375e+00,4.396981208317932155e-01,1.494713737879321158e+00,5.452085081255492183e-01
2.393632622369732843e+00,1.325200006150412513e+01,6.622728873946052142e-01,-5.472074014977597045e-01,3.685512318249597463e-01,3.308064918536449017e+00,4.764013879503278814e-01,1.454272990071154181e+00,6.089001416486371498e-01
2.493367314968471415e+00,1.330232371128331614e+01,7.483740550123545443e-01,-5.107309588696040681e-01,3.629937634762672727e-01,3.322396875331609323e+00,5.052813834882488031e-01,1.421189578648636154e+00,6.482161325557849185e-01
2.593102007567210432e+00,1.334949788639693757e+01,8.362410259235965038e-01,-4.747852315350331587e-01,3.579151585180814776e-01,3.337530398982063495e+00,5.270980410673413719e-01,1.386973388392931383e+00,6.766284049504447395e-01
2.692836700165949448e+00,1.339350566591775760e+01,9.257355199877567165e-01,-4.393229372549807277e-01,3.532874717236053619e-01,3.353244561066172746e+00,5.426956889159264552e-01,1.346513766953978175e+00,7.110696119639404733e-01
2.792571392764688021e+00,1.343433331513094764e+01,1.016725379667472229e+00,-4.043004310868254514e-01,3.491009935864800018e-01,3.369347156607233718e+00,5.525918858239547982e-01,1.310099765223983859e+00,7.440640201572311652e-01
2.892306085363427037e+00,1.347196841500352349e+01,1.109081234257125681e+00,-3.696741192254089370e-01,3.453332828459256820e-01,3.385664694778216077e+00,5.573974621252092421e-01,1.282277829636343291e+00,7.773485997911173673e-01
2.992040777962166054e+00,1.350640074712368310e+01,1.202678779190034630e+00,-3.354032361416672270e-01,3.419772988412821402e-01,3.402044848991327086e+00,5.574636575578383324e-01,1.259423231609166249e+00,8.126673759459389634e-01
3.091775470560904626e+00,1.353762097459563130e+01,1.297395970737965643e+00,-3.014470522537606723e-01,3.390155692699670098e-01,3.418348444437959710e+00,5.532352304025144329e-01,1.245051203524970118e+00,8.443355999609429841e-01
3.191510163159643643e+00,1.356562120181787101e+01,1.393114823532664470e+00,-2.677669908268134336e-01,3.364429270423887064e-01,3.434451860030854231e+00,5.449574508495107494e-01,1.224079636448902386e+00,8.725710456674302673e-01
3.291244855758382659e+00,1.359039408470493271e+01,1.489719107777171425e+00,-2.343245080961080529e-01,3.342462960557475160e-01,3.450240847614718387e+00,5.329560276115051787e-01,1.199261588247727772e+00,8.974291501607236654e-01
3.390979548357121232e+00,1.361193314912244645e+01,1.587095684472238144e+00,-2.010826312096762880e-01,3.324220200971424455e-01,3.465612545815542678e+00,5.174086343742436700e-01,1.177630328017129413e+00,9.189526123322128148e-01
3.490714240955860248e+00,1.363023222979052029e+01,1.685132680884494638e+00,-1.680044100449413769e-01,3.309611156028289813e-01,3.480470873302718093e+00,4.985525258897998135e-01,1.160075080301480765e+00,9.371244152444065945e-01
3.590448933554599265e+00,1.364528561850157118e+01,1.783720379391511957e+00,-1.350539514108015648e-01,3.298610614836529620e-01,3.494727953036755874e+00,4.765262499450074185e-01,1.149772347586405674e+00,9.520678394908153042e-01
3.690183626153337837e+00,1.365708774874681630e+01,1.882749850009570514e+00,-1.021953753878828142e-01,3.291167687059594060e-01,3.508300993906233067e+00,4.514996837786905970e-01,1.145977444561852687e+00,9.638274559620420012e-01
