x_m,y_m,w_tr_right_m,w_tr_left_m
11.291615,-0.414602,0.718337,0.731837
11.391441,-0.419814,0.713128,0.737049
11.491287,-0.424636,0.708309,0.741871
11.591158,-0.428895,0.709085,0.746129
11.691059,-0.432415,0.715717,0.723932
11.790987,-0.435024,0.732419,0.707485
11.890937,-0.436544,0.746283,0.703880
11.990898,-0.436802,0.746026,0.704140
12.090853,-0.435623,0.747205,0.702963
12.190801,-0.434417,0.748411,0.701760
12.290743,-0.436379,0.746450,0.703723
12.390649,-0.439626,0.743202,0.715989
12.490501,-0.444303,0.738524,0.742998
12.590324,-0.449567,0.733260,0.774315
12.690233,-0.452747,0.737739,0.811820
12.790182,-0.451956,0.759365,0.855943
12.889938,-0.445848,0.787411,0.904507
12.989064,-0.433209,0.800016,0.955671
13.086848,-0.412707,0.820442,1.007662
13.182189,-0.382898,0.850123,1.053933
13.273474,-0.342384,0.890481,1.089853
13.358577,-0.290164,0.942645,1.113123
13.435114,-0.226073,1.007102,1.125511
13.500980,-0.151066,1.082415,1.131468
13.554937,-0.067070,1.088458,1.131302
13.594961,0.024366,1.052910,1.124138
13.624157,0.119906,1.033058,1.114234
13.644735,0.217684,1.031525,1.104339
13.658057,0.316727,1.034376,1.096074
13.665369,0.416406,1.027077,1.088739
13.666126,0.516330,1.027637,1.077390
13.663324,0.616252,1.041378,1.038011
13.660342,0.716170,1.064544,1.006550
13.659406,0.816124,1.082507,0.986298
13.663176,0.916003,1.078738,0.980618
13.668496,1.015823,1.076594,0.977493
13.675811,1.115516,1.081718,0.984808
13.685069,1.215047,1.094054,0.994071
13.695748,1.314437,1.096058,1.004760
13.707333,1.413726,1.084471,1.016358
13.719316,1.512967,1.072486,1.028355
13.731192,1.612222,1.060610,1.040245
13.742455,1.711547,1.049346,1.051519
13.752595,1.810993,1.044065,1.061667
13.761096,1.910592,1.049971,1.070171
13.767432,2.010350,1.067388,1.076505
13.775296,2.110000,1.066704,1.082600
13.782112,2.209729,1.059886,1.063865
13.787309,2.309555,1.054688,1.052695
13.790534,2.409463,1.051463,1.048983
13.791434,2.509418,1.050564,1.049881
13.792495,2.609359,1.056183,1.049967
13.791987,2.709320,1.072678,1.025064
13.791769,2.809282,1.097785,1.009777
13.791490,2.909244,1.101083,1.004194
13.790804,3.009203,1.101770,0.999005
13.793548,3.109122,1.099028,1.001749
13.797392,3.209010,1.095186,1.005593
13.801901,3.308871,1.090677,1.010102
13.806903,3.408708,1.094026,1.019871
13.812222,3.508528,1.106120,1.039517
13.819009,3.608247,1.123448,1.069575
13.830416,3.707550,1.112068,1.095051
13.843343,3.806673,1.099178,1.122842
13.854902,3.905961,1.087650,1.157348
13.862878,4.005593,1.080545,1.195975
13.865528,4.105494,1.087966,1.236738
13.860861,4.205302,1.111511,1.277542
13.846884,4.304210,1.145112,1.312316
13.821439,4.400787,1.170617,1.333412
13.783869,4.493300,1.208353,1.349153
13.733750,4.579640,1.187872,1.358283
13.672352,4.658394,1.109332,1.361151
13.601064,4.728323,1.038892,1.358085
13.521502,4.788692,0.978621,1.344501
13.435509,4.839513,0.928133,1.319589
13.344788,4.881351,0.886663,1.284960
13.250738,4.915093,0.853234,1.242269
13.154420,4.941743,0.826819,1.193058
13.056591,4.962222,0.806501,1.140612
12.957812,4.977495,0.791239,1.090065
12.858506,4.988873,0.779845,1.043068
12.758922,4.997530,0.771184,1.001303
12.659227,5.004828,0.763886,0.966792
12.559511,5.011733,0.756981,0.935121
12.459673,5.016063,0.752655,0.907587
12.359716,5.016306,0.752415,0.880014
12.259758,5.016537,0.752187,0.857413
12.159807,5.017700,0.751029,0.827648
12.059867,5.019243,0.749490,0.809592
11.959962,5.022632,0.746107,0.805499
11.860040,5.025475,0.743270,0.781543
11.760097,5.027424,0.741327,0.765455
11.660240,5.031791,0.736964,0.764663
11.560418,5.037084,0.744901,0.769956
11.460605,5.042540,0.764812,0.775411
11.360791,5.047985,0.769866,0.780855
11.260967,5.053247,0.764613,0.786116
11.161125,5.058151,0.759717,0.791019
11.061234,5.061537,0.756335,0.794406
10.961282,5.062906,0.754965,0.792476
10.861341,5.064954,0.755322,0.766455
10.761446,5.068312,0.760952,0.754218
10.661595,5.072970,0.772201,0.756425
10.561672,5.075707,0.791572,0.759163
10.461715,5.076344,0.790935,0.770451
10.361817,5.079258,0.788021,0.796419
10.262131,5.086628,0.780655,0.820807
10.162575,5.095626,0.771664,0.830056
10.062951,5.103801,0.763495,0.850230
9.963127,5.108866,0.763394,0.878424
9.863185,5.108990,0.781096,0.912187
9.763526,5.101720,0.815523,0.948614
9.665108,5.084622,0.832606,0.984934
9.569714,5.055140,0.862063,1.015802
9.480799,5.009889,0.907353,1.032716
9.401888,4.948805,0.861090,1.040519
9.335776,4.874041,0.802446,1.034402
9.282918,4.789360,0.767827,1.011905
9.242003,4.698233,0.746449,0.980541
9.210885,4.603303,0.719130,0.948358
9.188664,4.505882,0.696886,0.910530
9.175987,4.406772,0.692146,0.869891
9.167897,4.307144,0.706287,0.834793
9.162568,4.207336,0.721203,0.807863
9.159829,4.107413,0.728824,0.776518
9.156208,4.007521,0.748960,0.737375
9.150790,3.907713,0.779794,0.712009
9.146169,3.807893,0.803909,0.699329
9.136834,3.708372,0.831651,0.705510
9.127971,3.608810,0.866869,0.714356
9.121568,3.509055,0.907884,0.720751
9.111790,3.409573,0.952818,0.730508
9.099604,3.310361,0.996744,0.742663
9.084092,3.211620,1.037647,0.758129
9.062615,3.114063,1.080927,0.779523
9.031409,3.019150,1.122653,0.810592
8.989901,2.928325,1.157518,0.851947
8.936718,2.843829,1.179667,0.905104
8.869514,2.770110,1.184275,0.972827
8.789415,2.710710,1.173388,1.052730
8.698602,2.669393,1.149982,1.136404
8.601085,2.648564,1.113863,1.159583
8.501362,2.643524,1.070579,1.117251
8.401772,2.651794,1.018416,1.086506
8.303530,2.670012,0.954009,1.051648
8.206682,2.694772,0.890623,1.020720
8.111207,2.724337,0.830244,0.988523
8.016087,2.755057,0.776996,0.963957
7.921090,2.786164,0.727335,0.932817
7.825378,2.814923,0.685323,0.906556
7.728445,2.839343,0.660378,0.855942
7.631475,2.863598,0.647102,0.804340
7.535156,2.890341,0.627508,0.764816
7.439308,2.918663,0.602311,0.738439
7.344325,2.949814,0.590144,0.696872
7.250511,2.984252,0.582074,0.663829
7.158441,3.023170,0.579693,0.649517
7.067974,3.065624,0.575647,0.653645
6.979978,3.113032,0.571120,0.659853
6.893542,3.163238,0.576132,0.635733
6.810182,3.218393,0.573335,0.615717
6.728628,3.276171,0.571504,0.598859
6.649818,3.337659,0.582437,0.586594
6.571614,3.399918,0.593641,0.588941
6.496131,3.465401,0.600678,0.604439
6.422753,3.533282,0.604553,0.600566
6.350695,3.602553,0.606520,0.614103
6.279804,3.673029,0.621679,0.634779
6.209604,3.744191,0.642529,0.652368
6.140635,3.816546,0.651085,0.674516
6.070127,3.887405,0.667588,0.692860
5.999784,3.958427,0.693653,0.724866
5.929236,4.029246,0.724586,0.749274
5.858498,4.099873,0.749633,0.769397
5.787341,4.170078,0.770048,0.785664
5.715835,4.239930,0.802943,0.805669
5.646297,4.311737,0.839732,0.823338
5.577164,4.383939,0.859236,0.847366
5.508980,4.457035,0.878188,0.866229
5.440766,4.530103,0.889785,0.892063
5.372515,4.603139,0.909686,0.910333
5.304180,4.676096,0.920684,0.936526
5.234533,4.747789,0.940367,0.970660
5.163058,4.817670,0.945645,1.007924
5.090179,4.886085,0.963326,1.023327
5.013888,4.950669,0.995638,1.040122
4.935585,5.012792,1.004438,1.061862
4.854710,5.071500,0.945767,1.063635
4.770184,5.124851,0.892748,1.068310
4.683859,5.175253,0.842909,1.065412
4.595246,5.221420,0.797248,1.061489
4.502533,5.258722,0.759593,1.041311
4.408099,5.291472,0.726604,1.016661
4.312054,5.319016,0.698907,0.996027
4.213909,5.337857,0.680006,0.973729
4.115275,5.354085,0.663737,0.938065
4.016441,5.369060,0.648729,0.896461
3.917512,5.383358,0.634402,0.863810
3.818702,5.398384,0.619342,0.839820
3.720306,5.415977,0.601703,0.808018
3.622136,5.434815,0.582811,0.771509
3.523621,5.451747,0.565837,0.742725
3.424926,5.467615,0.549935,0.725588
3.326079,5.482498,0.535023,0.707245
3.227331,5.497979,0.519512,0.678504
3.128517,5.513071,0.504391,0.663323
3.029731,5.528317,0.489117,0.641282
2.930868,5.543085,0.474324,0.613532
2.831719,5.555778,0.461614,0.599225
2.732690,5.569392,0.447980,0.584750
2.633378,5.580748,0.450528,0.556440
2.533801,5.589468,0.477084,0.526751
2.434286,5.598888,0.469389,0.505129
2.334573,5.605905,0.462375,0.491504
2.234710,5.610272,0.458013,0.470868
2.134886,5.615373,0.452918,0.457592
2.034926,5.615983,0.452313,0.449890
1.934964,5.615816,0.452482,0.449715
1.835029,5.616975,0.451327,0.450865
1.735198,5.622065,0.446243,0.455943
1.635289,5.625275,0.443040,0.459141
1.535338,5.626636,0.459733,0.460491
1.435461,5.630639,0.474938,0.464483
1.335632,5.635691,0.483886,0.469524
1.235732,5.639110,0.480485,0.476895
1.135817,5.641943,0.477667,0.503822
1.035891,5.644651,0.474972,0.547159
0.935946,5.646428,0.473201,0.574597
0.835997,5.645149,0.474471,0.614508
0.736228,5.639183,0.480422,0.650672
0.637050,5.626930,0.492688,0.693447
0.539230,5.606608,0.512944,0.740396
0.444077,5.576243,0.542768,0.783277
0.353641,5.533926,0.598633,0.817534
0.270705,5.478371,0.674894,0.836965
0.198315,5.409621,0.756521,0.839537
0.138220,5.329833,0.696803,0.826707
0.090819,5.241970,0.649971,0.810806
0.056657,5.148139,0.616240,0.792528
0.035087,5.050616,0.594891,0.773501
0.019826,4.951832,0.580648,0.750856
0.008659,4.852508,0.576921,0.722767
0.002236,4.752769,0.589002,0.703064
0.000789,4.652834,0.609496,0.692289
0.004321,4.552947,0.613026,0.688372
0.012588,4.453335,0.621299,0.682274
0.024965,4.354146,0.633695,0.686647
0.046998,4.256697,0.655813,0.695698
0.078541,4.161931,0.687560,0.707925
0.123096,4.072570,0.732625,0.695239
0.181400,3.991599,0.724428,0.672386
0.249626,3.918625,0.652540,0.646172
0.324261,3.852167,0.586105,0.625659
0.402198,3.789601,0.522603,0.614854
0.482195,3.729659,0.472019,0.600779
0.563955,3.672150,0.441654,0.583792
0.646265,3.615429,0.433740,0.565889
0.727449,3.557114,0.428292,0.549873
0.806806,3.496355,0.423059,0.536708
0.882937,3.431605,0.431088,0.528673
0.954188,3.361543,0.431922,0.527844
1.015596,3.282857,0.419689,0.539940
1.065244,3.196218,0.416857,0.565713
1.102351,3.103568,0.423959,0.604328
1.124610,3.006261,0.438778,0.656632
1.131944,2.906703,0.440536,0.721505
1.123725,2.807173,0.432308,0.680053
1.099374,2.710304,0.423502,0.625757
1.058986,2.619030,0.421184,0.572275
1.004795,2.535188,0.426806,0.529237
0.939712,2.459450,0.428499,0.501343
0.865149,2.393053,0.422737,0.483297
0.782859,2.336453,0.404647,0.482655
0.695272,2.288350,0.384794,0.489653
0.605068,2.245298,0.379630,0.506715
0.513396,2.205447,0.377982,0.543765
0.421488,2.166134,0.401455,0.581407
0.330226,2.125368,0.442615,0.616560
0.240408,2.081517,0.489816,0.648649
0.153354,2.032451,0.555539,0.675269
0.072720,1.973494,0.637130,0.690520
0.003898,1.901214,0.669619,0.700107
-0.050228,1.817416,0.635171,0.705205
-0.089482,1.725623,0.618727,0.692990
-0.114374,1.628870,0.593862,0.667943
-0.128588,1.529961,0.579661,0.646428
-0.134252,1.430176,0.573999,0.631379
-0.136218,1.330250,0.572034,0.628278
-0.132273,1.230373,0.575979,0.624336
-0.128705,1.130476,0.579546,0.631629
-0.127016,1.030530,0.581235,0.643896
-0.127422,0.930572,0.580829,0.670677
-0.129353,0.830633,0.578898,0.711981
-0.127572,0.730703,0.580678,0.750239
-0.119770,0.631078,0.588484,0.793669
-0.104100,0.532396,0.604170,0.833090
-0.078846,0.435744,0.629477,0.867856
-0.042219,0.342836,0.666266,0.893717
