x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
12.556635,-0.246331,0.0,0.0,0.435159,0.430254,3.702189
12.733200,-0.154663,0.0,0.0,0.523536,0.459001,3.671761
12.900580,-0.047310,0.0,0.0,0.618173,0.493229,3.664858
13.056601,0.075832,0.0,0.0,0.718340,0.499606,3.662043
13.199727,0.213886,0.0,0.0,0.815760,0.480661,3.659226
13.329037,0.365030,0.0,0.0,0.909986,0.467062,3.670745
13.443796,0.527423,0.0,0.0,1.000405,0.442365,3.689910
13.543850,0.699312,0.0,0.0,1.086176,0.420484,3.723420
13.629179,0.878963,0.0,0.0,1.167963,0.402092,3.766811
13.699872,1.064854,0.0,0.0,1.246269,0.385538,3.816129
13.756114,1.255645,0.0,0.0,1.321531,0.371513,3.869408
13.798104,1.450045,0.0,0.0,1.394206,0.359387,3.924527
13.826096,1.646968,0.0,0.0,1.464632,0.348933,3.980156
13.840356,1.845357,0.0,0.0,1.533172,0.340375,4.035309
13.841155,2.044253,0.0,0.0,1.600144,0.333167,4.088910
13.828773,2.242777,0.0,0.0,1.665836,0.327506,4.140405
13.803490,2.440062,0.0,0.0,1.730537,0.323171,4.189094
13.765578,2.635322,0.0,0.0,1.794503,0.320126,4.234484
13.715312,2.827772,0.0,0.0,1.857998,0.318412,4.276118
13.652961,3.016651,0.0,0.0,1.921274,0.317935,4.313503
13.578792,3.201211,0.0,0.0,1.984581,0.318710,4.346237
13.493073,3.380700,0.0,0.0,2.048164,0.320741,4.312300
13.396083,3.554351,0.0,0.0,2.112283,0.324080,4.275158
13.288100,3.721395,0.0,0.0,2.177191,0.328698,4.235709
13.169431,3.881020,0.0,0.0,2.243168,0.334841,4.194581
13.040401,4.032383,0.0,0.0,2.310504,0.342316,4.153542
12.901356,4.174622,0.0,0.0,2.379481,0.351433,4.114237
12.752728,4.306780,0.0,0.0,2.450448,0.362313,4.078406
12.594954,4.427905,0.0,0.0,2.523574,0.372265,4.045565
12.428653,4.537013,0.0,0.0,2.598691,0.383278,4.017067
12.254550,4.633115,0.0,0.0,2.676163,0.393952,3.993241
12.073452,4.715351,0.0,0.0,2.754519,0.394188,3.969905
11.886476,4.783136,0.0,0.0,2.833174,0.396993,3.942700
11.694722,4.835961,0.0,0.0,2.912453,0.399501,3.913365
11.499389,4.873385,0.0,0.0,2.992258,0.403231,3.881055
11.301696,4.895028,0.0,0.0,3.073044,0.409379,3.845976
11.102871,4.900507,0.0,0.0,-3.127840,0.418473,3.810672
10.904318,4.889426,0.0,0.0,-3.043451,0.430412,3.778721
10.707419,4.861397,0.0,0.0,-2.956453,0.444708,3.752753
10.513786,4.816070,0.0,0.0,-2.866243,0.462812,3.737377
10.325158,4.753132,0.0,0.0,-2.772253,0.478159,3.732448
10.143300,4.672606,0.0,0.0,-2.677256,0.477709,3.727794
9.969935,4.575182,0.0,0.0,-2.581798,0.482879,3.724931
9.806706,4.461898,0.0,0.0,-2.490585,0.414161,3.722065
9.653163,4.335431,0.0,0.0,-2.417774,0.318384,3.770323
9.507839,4.199386,0.0,0.0,-2.363742,0.218844,3.880525
9.368615,4.057323,0.0,0.0,-2.332598,0.094127,4.048443
9.232060,3.912663,0.0,0.0,-2.326303,-0.030814,3.908708
9.094568,3.768787,0.0,0.0,-2.344854,-0.155687,3.663752
8.952773,3.629326,0.0,0.0,-2.388302,-0.281240,3.477322
8.803391,3.497990,0.0,0.0,-2.456406,-0.397517,3.343131
8.644020,3.378762,0.0,0.0,-2.545602,-0.500162,3.256506
8.473883,3.276154,0.0,0.0,-2.655824,-0.608992,3.233677
8.292683,3.194489,0.0,0.0,-2.780897,-0.632091,3.222926
8.102539,3.136199,0.0,0.0,-2.907832,-0.646014,3.220450
7.906656,3.102815,0.0,0.0,-3.037969,-0.644857,3.217972
7.708080,3.094553,0.0,0.0,3.123165,-0.583631,3.216875
7.509699,3.109399,0.0,0.0,3.012339,-0.532089,3.255016
7.314094,3.145083,0.0,0.0,2.911898,-0.475198,3.316859
7.122697,3.199082,0.0,0.0,2.823267,-0.416458,3.401519
6.936395,3.268765,0.0,0.0,2.745880,-0.361725,3.507294
6.755634,3.351633,0.0,0.0,2.679434,-0.306494,3.630091
6.580157,3.445421,0.0,0.0,2.623849,-0.252507,3.770424
6.409684,3.547878,0.0,0.0,2.578670,-0.202049,3.928326
6.243434,3.657123,0.0,0.0,2.543462,-0.151974,4.102829
6.080539,3.771364,0.0,0.0,2.518095,-0.104328,4.295955
5.920084,3.888948,0.0,0.0,2.501726,-0.060245,4.508496
5.761034,4.008459,0.0,0.0,2.494124,-0.016191,4.740654
5.602433,4.128560,0.0,0.0,2.493525,0.007636,4.996019
5.443658,4.248416,0.0,0.0,2.497125,0.028561,5.245163
5.284207,4.367369,0.0,0.0,2.504776,0.046572,5.461001
5.123666,4.484850,0.0,0.0,2.515376,0.059995,5.647107
4.961734,4.600407,0.0,0.0,2.528647,0.073420,5.681411
4.798132,4.713587,0.0,0.0,2.544580,0.086765,5.533779
4.632602,4.823924,0.0,0.0,2.563170,0.100136,5.391703
4.464908,4.930943,0.0,0.0,2.584420,0.113470,5.254397
4.294840,5.034150,0.0,0.0,2.608321,0.126832,5.121137
4.122226,5.133031,0.0,0.0,2.634887,0.140255,4.991208
3.946917,5.227059,0.0,0.0,2.664118,0.153644,4.863758
3.768822,5.315683,0.0,0.0,2.696031,0.167213,4.738082
3.587877,5.398335,0.0,0.0,2.730652,0.180862,4.613287
3.404074,5.474424,0.0,0.0,2.768014,0.194801,4.488565
3.217473,5.543329,0.0,0.0,2.808174,0.208979,4.362898
3.028154,5.604423,0.0,0.0,2.851191,0.223572,4.235222
2.836322,5.657032,0.0,0.0,2.897166,0.238715,4.104314
2.642207,5.700472,0.0,0.0,2.946275,0.256096,3.970061
2.446133,5.733963,0.0,0.0,2.999235,0.276466,3.832595
2.248522,5.756623,0.0,0.0,3.056307,0.297346,3.690063
2.049872,5.767448,0.0,0.0,3.119314,0.336749,3.552833
1.851016,5.764946,0.0,0.0,-3.092760,0.378431,3.420614
1.652893,5.747492,0.0,0.0,-3.013275,0.421179,3.291450
1.456928,5.713499,0.0,0.0,-2.924818,0.468781,3.165703
1.265048,5.661415,0.0,0.0,-2.826598,0.518910,3.041683
1.079580,5.589787,0.0,0.0,-2.717436,0.580528,2.923546
0.903656,5.497268,0.0,0.0,-2.595134,0.649865,2.813535
0.740975,5.382729,0.0,0.0,-2.458817,0.721443,2.710750
0.596493,5.246055,0.0,0.0,-2.305797,0.820603,2.633719
0.476438,5.088024,0.0,0.0,-2.131309,0.932515,2.602573
0.386738,4.910379,0.0,0.0,-1.945006,0.946591,2.573220
0.332190,4.719426,0.0,0.0,-1.750862,1.013417,2.571244
0.316775,4.522208,0.0,0.0,-1.548885,0.952519,2.569266
0.338617,4.324786,0.0,0.0,-1.378516,0.766656,2.599042
0.390571,4.132331,0.0,0.0,-1.240402,0.620478,2.711067
0.464813,3.948149,0.0,0.0,-1.143947,0.347010,2.861791
0.551734,3.769166,0.0,0.0,-1.102696,0.068541,3.116451
0.641321,3.590917,0.0,0.0,-1.116811,-0.212931,2.940306
0.723036,3.409467,0.0,0.0,-1.188265,-0.507047,2.734310
0.785896,3.221314,0.0,0.0,-1.317944,-0.780206,2.638329
0.820114,3.024902,0.0,0.0,-1.481745,-0.872346,2.561788
0.819673,2.826426,0.0,0.0,-1.669293,-1.022482,2.559820
0.780004,2.633140,0.0,0.0,-1.874046,-0.944476,2.557851
0.704723,2.449307,0.0,0.0,-2.036700,-0.698220,2.596093
0.603976,2.276842,0.0,0.0,-2.155577,-0.482446,2.742768
0.488472,2.115030,0.0,0.0,-2.212893,-0.091094,2.955155
