# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -5.432; 5.232; 7.542
0.2; 0.043; -3.485; 5.571; 6.571
0.4; 0.088; -1.203; 5.980; 6.100
0.6; 0.134; 1.441; 6.499; 6.657
0.8; 0.181; 2.043; 6.619; 6.928
1.0; 0.228; 2.044; 6.619; 6.927
1.2; 0.276; 2.047; 6.610; 6.920
1.4; 0.325; 2.057; 6.576; 6.891
1.6; 0.374; 2.065; 6.549; 6.866
1.8; 0.423; 2.070; 6.525; 6.846
2.0; 0.473; 2.072; 6.502; 6.824
2.2; 0.523; 2.071; 6.485; 6.808
2.4; 0.574; 2.065; 6.476; 6.798
2.6; 0.625; 2.056; 6.475; 6.794
2.8; 0.676; 2.043; 6.482; 6.796
3.0; 0.727; 2.028; 6.495; 6.804
3.2; 0.778; 2.011; 6.513; 6.816
3.4; 0.829; 1.996; 6.529; 6.827
3.6; 0.880; 1.988; 6.536; 6.831
3.8; 0.931; 1.989; 6.525; 6.822
4.0; 0.982; 1.990; 6.524; 6.821
4.2; 1.033; 1.990; 6.526; 6.823
4.4; 1.084; 1.991; 6.528; 6.825
4.6; 1.134; 1.991; 6.531; 6.827
4.8; 1.184; 1.992; 6.533; 6.830
5.0; 1.234; 1.992; 6.535; 6.832
5.2; 1.284; 1.993; 6.537; 6.834
5.4; 1.334; 1.993; 6.539; 6.836
5.6; 1.384; 1.994; 6.541; 6.839
5.8; 1.433; 1.995; 6.544; 6.841
6.0; 1.483; 1.995; 6.546; 6.843
6.2; 1.532; 1.996; 6.548; 6.845
6.4; 1.582; 1.996; 6.550; 6.847
6.6; 1.631; 1.997; 6.552; 6.849
6.8; 1.680; 1.998; 6.553; 6.851
7.0; 1.730; 1.998; 6.555; 6.853
7.2; 1.779; 1.999; 6.557; 6.855
7.4; 1.828; 2.000; 6.558; 6.856
7.6; 1.878; 2.000; 6.560; 6.858
7.8; 1.927; 2.001; 6.561; 6.860
8.0; 1.977; 2.002; 6.562; 6.861
8.2; 2.026; 2.002; 6.563; 6.862
8.4; 2.074; 2.007; 6.554; 6.854
8.6; 2.123; 2.031; 6.489; 6.799
8.8; 2.171; 2.067; 6.394; 6.720
9.0; 2.218; 2.117; 6.264; 6.612
9.2; 2.265; 2.200; 6.065; 6.451
9.4; 2.311; 2.382; 5.682; 6.161
9.6; 2.357; 2.938; 4.782; 5.612
9.8; 2.401; 5.115; 1.600; 5.360
10.0; 2.444; 0.272; -2.159; 2.176
10.2; 2.489; -7.814; -3.047; 8.387
10.4; 2.537; -7.103; -3.775; 8.044
10.6; 2.591; -6.669; -4.156; 7.858
10.8; 2.650; -6.390; -4.353; 7.732
11.0; 2.715; -1.907; -5.226; 5.563
11.2; 2.781; 2.150; -5.955; 6.332
11.4; 2.845; 2.247; -5.851; 6.268
11.6; 2.907; 2.336; -5.761; 6.216
11.8; 2.967; 2.402; -5.698; 6.183
12.0; 3.026; 2.439; -5.668; 6.171
12.2; 3.082; 2.450; -5.670; 6.176
12.4; 3.136; 2.544; -5.564; 6.118
12.6; 3.189; 2.787; -5.275; 5.966
12.8; 3.239; 3.244; -4.719; 5.727
13.0; 3.287; 3.975; -3.755; 5.468
13.2; 3.332; 4.793; -2.477; 5.395
13.4; 3.374; 5.405; -1.269; 5.552
13.6; 3.414; 5.808; -0.259; 5.813
