# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; -0.23416; 5.7; -19.1; 5.2
0.2; 0.043; -0.23194; 0.0; -5.5; 5.5
0.4; 0.088; -0.21977; 7.7; -3.9; 6.0
0.6; 0.134; -0.20973; 6.0; -0.0; 6.1
0.8; 0.181; -0.21070; 6.0; 0.0; 6.1
1.0; 0.228; -0.21207; 6.0; 0.0; 6.1
1.2; 0.276; -0.21476; 6.0; 0.0; 6.1
1.4; 0.325; -0.21486; 6.0; 0.0; 6.1
1.6; 0.374; -0.21175; 6.1; 0.0; 6.0
1.8; 0.423; -0.20589; 6.2; 0.0; 6.0
2.0; 0.473; -0.19704; 6.2; 0.0; 6.0
2.2; 0.523; -0.18582; 6.3; 0.0; 6.0
2.4; 0.574; -0.17329; 6.4; 0.0; 6.0
2.6; 0.625; -0.16062; 6.4; 0.0; 6.0
2.8; 0.676; -0.14902; 6.5; 0.0; 6.0
3.0; 0.727; -0.13959; 6.5; 0.0; 6.0
3.2; 0.778; -0.13330; 6.5; 0.0; 6.0
3.4; 0.829; -0.13085; 6.5; 0.0; 6.1
3.6; 0.880; -0.13206; 6.5; 0.0; 6.0
3.8; 0.931; -0.13325; 6.5; 0.0; 6.0
4.0; 0.982; -0.13434; 6.4; 0.0; 6.0
4.2; 1.033; -0.13550; 6.4; 0.0; 6.0
4.4; 1.084; -0.13672; 6.4; 0.0; 6.1
4.6; 1.134; -0.13800; 6.4; 0.0; 6.1
4.8; 1.184; -0.13932; 6.4; 0.0; 6.1
5.0; 1.234; -0.14068; 6.4; 0.0; 6.1
5.2; 1.284; -0.14207; 6.4; 0.0; 6.1
5.4; 1.334; -0.14348; 6.4; 0.0; 6.1
5.6; 1.384; -0.14491; 6.4; 0.0; 6.1
5.8; 1.433; -0.14634; 6.4; 0.0; 6.1
6.0; 1.483; -0.14776; 6.3; 0.0; 6.1
6.2; 1.532; -0.14918; 6.3; 0.0; 6.1
6.4; 1.582; -0.15059; 6.3; 0.0; 6.1
6.6; 1.631; -0.15197; 6.3; -0.0; 6.1
6.8; 1.680; -0.15333; 6.3; -0.0; 6.1
7.0; 1.730; -0.15465; 6.3; -0.0; 6.1
7.2; 1.779; -0.15593; 6.3; -0.0; 6.1
7.4; 1.828; -0.15716; 6.3; -0.0; 6.1
7.6; 1.878; -0.15833; 6.3; 0.0; 6.1
7.8; 1.927; -0.15945; 6.3; 0.0; 6.1
8.0; 1.977; -0.16049; 6.3; 0.0; 6.1
8.2; 2.026; -0.16230; 6.3; 0.0; 6.1
8.4; 2.074; -0.16797; 6.3; 0.0; 6.0
8.6; 2.123; -0.17236; 6.5; 0.0; 5.9
8.8; 2.171; -0.17270; 6.7; 0.0; 5.8
9.0; 2.218; -0.16800; 7.2; 0.0; 5.6
9.2; 2.265; -0.16008; 8.0; 0.0; 5.3
9.4; 2.311; -0.15027; 10.4; 0.0; 4.4
9.6; 2.357; -0.13586; 18.7; 0.0; 1.5
9.8; 2.401; -0.11319; 21.2; -19.1; -2.0
10.0; 2.444; -0.07294; 14.0; -40.4; -2.8
10.2; 2.489; -0.03872; 13.7; -37.8; -3.5
10.4; 2.537; -0.00681; 13.6; -36.5; -3.9
10.6; 2.591; 0.02192; 13.7; -35.8; -4.0
10.8; 2.650; 0.00699; 0.0; -6.3; -4.8
11.0; 2.715; -0.03984; 8.4; 0.0; -5.5
11.2; 2.781; -0.05610; 8.8; 0.0; -5.4
11.4; 2.845; -0.06566; 9.2; 0.0; -5.3
11.6; 2.907; -0.06976; 9.5; 0.0; -5.3
11.8; 2.967; -0.06983; 9.6; 0.0; -5.3
12.0; 3.026; -0.06712; 9.7; 0.0; -5.3
12.2; 3.082; -0.05571; 9.9; 0.0; -5.2
12.4; 3.136; -0.03965; 10.6; 0.0; -4.9
12.6; 3.189; -0.02499; 12.1; 0.0; -4.4
12.8; 3.239; -0.01350; 14.7; 0.0; -3.5
13.0; 3.287; -0.00474; 17.5; 0.0; -2.3
13.2; 3.332; 0.00318; 19.7; 0.0; -1.2
13.4; 3.374; 0.01184; 21.1; 0.0; -0.2
13.6; 3.414; 0.02219; 20.6; 0.0; 0.6
13.8; 3.452; 0.04557; 18.4; 0.0; 2.0
14.0; 3.489; 0.06676; 15.7; 0.0; 3.3
14.2; 3.524; 0.07376; 13.2; 0.0; 4.3
14.4; 3.559; 0.06305; 11.5; 0.0; 4.8
14.6; 3.593; 0.04023; 10.5; 0.0; 5.1
14.8; 3.627; 0.02340; 9.7; -0.0; 5.3
15.0; 3.661; 0.00633; 8.9; -0.0; 5.5
15.2; 3.695; -0.01757; 10.5; -4.6; 5.5
15.4; 3.729; -0.04481; 12.3; -9.9; 5.5
15.6; 3.763; -0.07313; 0.0; -3.0; 5.3
15.8; 3.797; -0.10122; 4.3; -9.4; 5.3
16.0; 3.832; -0.12896; 15.9; -20.3; 5.4
16.2; 3.867; -0.15775; 17.1; -23.6; 5.4
16.4; 3.902; -0.18806; 18.1; -26.9; 5.3
16.6; 3.938; -0.21892; 16.0; -27.5; 5.2
16.8; 3.974; -0.24864; 8.0; -23.1; 5.1
17.0; 4.011; -0.27615; 7.1; -21.3; 5.2
17.2; 4.049; -0.30013; 5.6; -18.3; 5.3
17.4; 4.088; -0.31937; 3.5; -14.3; 5.4
17.6; 4.128; -0.33287; 1.0; -9.5; 5.5
17.8; 4.170; -0.34000; 0.0; -5.6; 5.6
18.0; 4.214; -0.34000; 0.0; -2.4; 5.8
18.2; 4.260; -0.34000; 0.0; -0.8; 5.9
18.4; 4.309; -0.34000; 0.0; -0.2; 5.9
18.6; 4.360; -0.34000; 0.0; -0.1; 5.9
18.8; 4.414; -0.34000; 0.0; -0.6; 5.8
19.0; 4.472; -0.34000; 0.0; -1.5; 5.8
19.2; 4.533; -0.32777; 0.0; -0.8; 5.8
19.4; 4.599; -0.30386; 0.7; -0.0; 5.8
19.6; 4.669; -0.26687; 7.0; -3.0; 5.9
19.8; 4.741; -0.21844; 6.6; -1.6; 5.9
20.0; 4.814; -0.16419; 6.1; -0.0; 5.9
20.2; 4.888; -0.11420; 6.4; 0.0; 5.8
20.4; 4.962; -0.06700; 6.8; 0.0; 5.8
20.6; 5.037; -0.06830; 8.9; 0.0; 5.0
20.8; 5.112; -0.09334; 21.1; 0.0; 0.3
21.0; 5.181; -0.12644; 0.0; -11.9; -3.0
21.2; 5.247; -0.10710; 14.2; -39.1; -3.2
21.4; 5.316; -0.11494; 15.1; -38.1; -3.3
21.6; 5.398; -0.18564; 6.8; 0.0; -4.1
21.8; 5.487; -0.19209; 14.2; 0.0; -3.7
22.0; 5.569; -0.14746; 15.3; 0.0; -3.3
22.2; 5.646; -0.00360; 21.4; 0.0; -0.1
22.4; 5.717; 0.12004; -0.0; -2.7; 3.6
22.6; 5.785; 0.09893; 14.2; -38.7; 3.3
22.8; 5.860; 0.12434; 14.3; -25.3; 3.9
23.0; 5.948; 0.16167; 0.0; -4.8; 3.8
23.2; 6.044; 0.19911; 0.0; -0.0; 3.5
23.4; 6.144; 0.20014; 14.8; 0.0; 3.5
23.6; 6.237; 0.17346; 14.3; 0.0; 3.7
23.8; 6.319; 0.15277; 13.6; 0.0; 4.0
24.0; 6.393; 0.13597; 13.0; 0.0; 4.2
24.2; 6.460; 0.12163; 12.3; 0.0; 4.4
24.4; 6.523; 0.10891; 11.8; 0.0; 4.6
24.6; 6.582; 0.09730; 11.3; 0.0; 4.8
24.8; 6.637; 0.08648; 10.9; 0.0; 4.9
25.0; 6.689; 0.07288; 10.6; 0.0; 5.0
25.2; 6.739; 0.05578; 10.7; 0.0; 4.9
25.4; 6.787; 0.04149; 11.1; 0.0; 4.8
25.6; 6.833; 0.03166; 11.9; 0.0; 4.5
25.8; 6.877; 0.02582; 12.8; 0.0; 4.2
26.0; 6.919; 0.02273; 14.0; 0.0; 3.8
26.2; 6.960; 0.02107; 15.1; 0.0; 3.3
26.4; 7.000; 0.01968; 16.2; 0.0; 2.9
26.6; 7.039; 0.01785; 17.0; 0.0; 2.6
26.8; 7.076; 0.01534; 17.7; 0.0; 2.2
27.0; 7.112; 0.01222; 18.3; 0.0; 1.9
27.2; 7.147; 0.00876; 18.9; 0.0; 1.6
27.4; 7.182; 0.00525; 19.4; 0.0; 1.3
27.6; 7.215; 0.00200; 20.0; 0.0; 1.0
27.8; 7.248; -0.00069; 20.4; 0.0; 0.7
28.0; 7.280; -0.00251; 20.8; 0.0; 0.4
28.2; 7.311; -0.00325; 21.1; 0.0; 0.2
28.4; 7.341; -0.00288; 21.3; 0.0; 0.1
28.6; 7.371; -0.00162; 21.4; 0.0; 0.0
28.8; 7.400; 0.00004; 21.4; 0.0; 0.0
29.0; 7.428; 0.00043; 21.4; 0.0; 0.0
29.2; 7.456; 0.00030; 21.4; 0.0; 0.0
29.4; 7.484; 0.00010; 21.4; 0.0; 0.0
29.6; 7.510; -0.00000; 21.4; 0.0; 0.0
29.8; 7.536; -0.00003; 21.4; 0.0; 0.0
30.0; 7.562; -0.00001; 21.4; 0.0; 0.0
30.2; 7.587; 0.00083; 21.3; 0.0; 0.0
30.4; 7.612; 0.00237; 21.2; 0.0; 0.1
30.6; 7.637; 0.00417; 21.1; 0.0; 0.2
30.8; 7.661; 0.00581; 20.9; -0.0; 0.4
31.0; 7.684; 0.00691; 20.6; -0.0; 0.5
31.2; 7.707; 0.00717; 22.5; -6.0; 0.7
31.4; 7.730; 0.00637; 26.1; -16.7; 0.8
31.6; 7.753; 0.00439; 3.9; -27.6; 1.0
31.8; 7.776; 0.00108; 10.8; -38.7; 1.2
32.0; 7.799; -0.00357; 16.0; -47.1; 1.4
32.2; 7.823; -0.00878; 15.8; -45.9; 1.7
32.4; 7.847; -0.01477; 15.5; -44.7; 2.0
32.6; 7.872; -0.02147; 15.2; -43.5; 2.4
32.8; 7.897; -0.02908; 15.0; -42.2; 2.7
33.0; 7.924; -0.03826; 14.8; -41.0; 3.0
33.2; 7.950; -0.04929; 14.6; -40.0; 3.3
33.4; 7.978; -0.06215; 14.5; -39.1; 3.5
33.6; 8.006; -0.07671; 14.4; -38.3; 3.7
33.8; 8.035; -0.09279; 14.3; -37.6; 3.9
34.0; 8.066; -0.11026; 14.2; -36.9; 4.0
34.2; 8.097; -0.12905; 14.1; -36.3; 4.2
34.4; 8.129; -0.14923; 14.0; -35.7; 4.3
34.6; 8.163; -0.17098; 13.9; -35.0; 4.5
34.8; 8.199; -0.19452; 13.7; -34.3; 4.7
35.0; 8.237; -0.21916; 13.3; -33.2; 4.8
