# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 4.89; -0.29965; 1.57079; 0.01497; 0.10034
0.2; 0.043; 4.68; -0.32966; 1.57079; -0.02699; 0.11756
0.4; 0.088; 4.54; -0.34950; 1.57079; -0.07063; 0.13782
0.6; 0.134; 4.50; -0.35473; 1.57079; -0.11283; 0.15983
0.8; 0.181; 4.48; -0.35617; 1.57078; -0.15151; 0.18139
1.0; 0.228; 4.46; -0.35732; 1.57079; -0.18631; 0.20210
1.2; 0.276; 4.44; -0.35800; 1.56095; -0.21730; 0.22176
1.4; 0.325; 4.42; -0.35733; 1.51684; -0.24454; 0.23931
1.6; 0.374; 4.41; -0.35414; 1.46284; -0.26810; 0.25375
1.8; 0.423; 4.39; -0.34821; 1.41261; -0.28804; 0.26490
2.0; 0.473; 4.38; -0.33977; 1.36788; -0.30443; 0.27290
2.2; 0.523; 4.37; -0.32932; 1.33755; -0.31736; 0.27816
2.4; 0.574; 4.36; -0.31771; 1.32678; -0.32697; 0.28146
2.6; 0.625; 4.36; -0.30600; 1.33699; -0.33339; 0.28375
2.8; 0.676; 4.36; -0.29527; 1.36698; -0.33684; 0.28598
3.0; 0.727; 4.37; -0.28648; 1.41319; -0.33753; 0.28902
3.2; 0.778; 4.37; -0.28033; 1.46924; -0.33573; 0.29347
3.4; 0.829; 4.38; -0.27707; 1.52467; -0.33171; 0.29949
3.6; 0.880; 4.38; -0.27634; 1.56394; -0.32579; 0.30658
3.8; 0.931; 4.39; -0.27703; 1.57079; -0.31831; 0.31345
4.0; 0.982; 4.40; -0.27801; 1.57079; -0.30963; 0.31914
4.2; 1.033; 4.40; -0.27908; 1.57079; -0.30007; 0.32339
4.4; 1.084; 4.41; -0.28022; 1.57079; -0.29000; 0.32613
4.6; 1.134; 4.41; -0.28144; 1.57079; -0.27977; 0.32728
4.8; 1.184; 4.42; -0.28272; 1.57079; -0.26976; 0.32683
5.0; 1.234; 4.42; -0.28404; 1.57079; -0.26034; 0.32486
5.2; 1.284; 4.43; -0.28541; 1.57079; -0.25182; 0.32151
5.4; 1.334; 4.43; -0.28682; 1.57079; -0.24449; 0.31701
