x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
12.513776,-0.154053,0.0,0.0,0.150790,-0.126129,2.100165
12.718403,-0.118564,0.0,0.0,0.226752,0.881645,1.633361
12.903227,-0.049083,0.0,0.0,0.546700,2.515251,1.632100
13.028198,0.083942,0.0,0.0,1.076720,2.242900,1.630838
13.092275,0.271498,0.0,0.0,1.360567,0.838570,1.717361
13.123247,0.478683,0.0,0.0,1.461217,0.163091,2.152914
13.145022,0.691667,0.0,0.0,1.476123,0.082898,2.646673
13.161524,0.885504,0.0,0.0,1.497284,0.133957,3.072643
13.173099,1.079268,0.0,0.0,1.524544,0.121930,3.405890
13.180359,1.279466,0.0,0.0,1.542242,0.052726,3.700790
13.185467,1.478009,0.0,0.0,1.546229,0.005074,4.008141
13.190310,1.677587,0.0,0.0,1.546627,-0.001229,4.322854
13.195153,1.875551,0.0,0.0,1.546063,-0.000780,4.618256
13.200053,2.075197,0.0,0.0,1.546709,0.007120,4.798577
13.204642,2.273749,0.0,0.0,1.549039,0.018101,4.523663
13.208540,2.473484,0.0,0.0,1.553930,0.030308,4.239610
13.211199,2.672402,0.0,0.0,1.561947,0.060899,3.956257
13.211450,2.871126,0.0,0.0,1.578528,0.103597,3.675805
13.207482,3.074369,0.0,0.0,1.604380,0.188599,3.419984
13.195685,3.272861,0.0,0.0,1.662874,0.398608,3.272182
13.167551,3.472971,0.0,0.0,1.765521,0.619525,3.263413
13.116497,3.666088,0.0,0.0,1.892583,0.627703,3.258820
13.041544,3.851481,0.0,0.0,2.017140,0.619539,3.256205
12.944280,4.026068,0.0,0.0,2.140819,0.612296,3.247831
12.826588,4.187291,0.0,0.0,2.261378,0.595820,3.234868
12.690097,4.333841,0.0,0.0,2.379613,0.585375,3.207559
12.537545,4.463012,0.0,0.0,2.499454,0.616775,3.174847
12.370255,4.572364,0.0,0.0,2.627461,0.665733,3.172396
12.189939,4.658658,0.0,0.0,2.762040,0.637082,3.169943
11.999901,4.721503,0.0,0.0,2.878918,0.532923,3.186264
11.804935,4.763565,0.0,0.0,2.976477,0.445527,3.263785
11.605450,4.788765,0.0,0.0,3.049898,0.281792,3.378945
11.406593,4.802570,0.0,0.0,3.088889,0.108051,3.576638
11.207688,4.811669,0.0,0.0,3.103026,0.097506,3.693004
11.008324,4.816822,0.0,0.0,3.131431,0.186014,3.438015
10.808148,4.814583,0.0,0.0,-3.105960,0.291763,3.214019
10.609216,4.800353,0.0,0.0,-3.027667,0.494486,3.085130
10.411671,4.766336,0.0,0.0,-2.907449,0.703848,3.081748
10.221236,4.705960,0.0,0.0,-2.762483,0.706564,3.079368
10.040925,4.619099,0.0,0.0,-2.623496,0.687264,3.076987
9.874750,4.508648,0.0,0.0,-2.488712,0.588981,3.087139
9.722265,4.380228,0.0,0.0,-2.406365,0.236100,3.154407
9.575191,4.243985,0.0,0.0,-2.394044,-0.111125,3.416832
9.426297,4.109909,0.0,0.0,-2.422000,-0.117388,3.717148
9.274447,3.979504,0.0,0.0,-2.440347,-0.066162,3.865250
9.121162,3.851321,0.0,0.0,-2.447452,0.013007,3.555470
8.968260,3.722590,0.0,0.0,-2.431806,0.143824,3.248491
8.819280,3.589682,0.0,0.0,-2.390270,0.270551,2.968720
8.674770,3.450930,0.0,0.0,-2.380908,-0.228986,2.666401
8.524469,3.319369,0.0,0.0,-2.483271,-0.799012,2.548715
8.356466,3.213393,0.0,0.0,-2.682426,-1.033007,2.546747
8.169295,3.143223,0.0,0.0,-2.881267,-0.969541,2.544778
7.971826,3.110783,0.0,0.0,-3.077438,-1.004480,2.575729
7.771199,3.117145,0.0,0.0,3.020049,-0.833254,2.576525
7.575540,3.156607,0.0,0.0,2.870608,-0.668422,2.663734
7.386395,3.222018,0.0,0.0,2.752593,-0.488951,2.804852
7.204498,3.305421,0.0,0.0,2.678996,-0.242501,2.999344
7.028212,3.396784,0.0,0.0,2.656105,-0.016065,3.284671
