x_m,y_m,w_tr_right_m,w_tr_left_m
6.102912,0.355209,1.264881,1.329225
6.202563,0.347322,1.273836,1.362498
6.302472,0.344467,1.293670,1.397508
6.402319,0.348712,1.297916,1.432139
6.501408,0.361559,1.310773,1.464815
6.598594,0.384664,1.333914,1.487704
6.692126,0.419666,1.369020,1.504801
6.779630,0.467752,1.318214,1.514115
6.858409,0.529091,1.239998,1.514135
6.925221,0.603223,1.172589,1.503208
6.979187,0.687298,1.118513,1.481986
7.022821,0.777214,1.074924,1.449435
7.057369,0.870983,1.040455,1.407581
7.082165,0.967748,1.018741,1.359844
7.098956,1.066278,1.014707,1.306662
7.111069,1.165497,1.025183,1.254996
7.119599,1.265094,1.028101,1.206161
7.125705,1.364873,1.021996,1.161650
7.130796,1.464711,1.016905,1.123332
7.136861,1.564491,1.010840,1.093787
7.143575,1.664229,1.004126,1.073418
7.150163,1.763974,0.997538,1.061981
7.156690,1.863713,0.991012,1.044897
7.166578,1.963191,0.981125,1.037791
7.175824,2.062729,0.971880,1.035381
7.184086,2.162354,0.963619,1.036635
7.191015,2.262080,0.956691,1.043568
7.196260,2.361909,0.951446,1.043353
7.199469,2.461822,0.948237,1.022034
7.200287,2.561783,0.947419,1.007819
7.200978,2.661740,0.946729,0.999631
7.202086,2.761699,0.945620,0.977038
7.206319,2.861573,0.941388,0.967449
7.211847,2.961387,0.940792,0.967645
7.218167,3.061147,0.949980,0.970625
7.223126,3.160984,0.970762,0.975581
7.221361,3.260883,0.976483,0.973814
7.212612,3.360431,0.985223,0.965059
7.195058,3.458830,1.002750,0.947482
7.171409,3.555929,1.026361,0.930519
7.138988,3.650483,1.058732,0.914994
7.099992,3.742484,1.061710,0.902506
7.054558,3.831492,0.980105,0.856902
7.004123,3.917781,0.904254,0.811996
6.949864,4.001740,0.836853,0.772378
6.893064,4.083988,0.779069,0.730339
6.832918,4.163830,0.734196,0.696162
6.771455,4.242664,0.700110,0.668545
6.709759,4.321321,0.666531,0.627860
6.648790,4.400544,0.622990,0.593083
6.585491,4.477918,0.594283,0.570871
6.522493,4.555536,0.581174,0.558927
6.461071,4.634404,0.568817,0.540751
6.402234,4.715215,0.553235,0.542433
6.346737,4.798330,0.548264,0.538129
6.295961,4.884431,0.555851,0.552868
6.247582,4.971900,0.567315,0.580573
6.203924,5.061805,0.564341,0.613401
6.165736,5.154174,0.547674,0.655751
6.131559,5.248118,0.542230,0.707567
6.104220,5.344266,0.547972,0.768989
6.084574,5.442192,0.563817,0.813822
6.072493,5.541400,0.575849,0.765474
6.069649,5.641245,0.578684,0.698042
6.073065,5.741140,0.569539,0.638918
6.084338,5.840451,0.544830,0.598190
6.102688,5.938685,0.528153,0.579299
6.126011,6.035883,0.525061,0.582396
6.152286,6.132333,0.514925,0.556601
6.182207,6.227701,0.507154,0.536387
6.213432,6.322651,0.489449,0.535779
6.242116,6.418395,0.485149,0.526728
6.270467,6.514219,0.484470,0.508373
6.301169,6.609352,0.480909,0.500335
6.333250,6.704031,0.480691,0.494036
6.366698,6.798236,0.477265,0.483225
6.400664,6.892250,0.490990,0.462007
6.435641,6.985878,0.507753,0.457505
6.471538,7.079175,0.526985,0.475446
6.507268,7.172531,0.530181,0.476087
6.541383,7.266490,0.535060,0.475445
6.576364,7.360124,0.539378,0.471321
6.611834,7.453578,0.555018,0.475313
6.646807,7.547228,0.575167,0.498825
6.682836,7.640477,0.583928,0.506008
6.719570,7.733443,0.585396,0.505450
6.755106,7.826871,0.588246,0.514934
6.791325,7.920040,0.598831,0.523339
6.826598,8.013575,0.626373,0.534958
6.859785,8.107864,0.647577,0.562259
6.890143,8.203102,0.680408,0.568468
6.920384,8.298386,0.725743,0.577541
6.951062,8.393520,0.740250,0.575720
6.981244,8.488808,0.732584,0.586999
7.010537,8.584382,0.729381,0.613671
7.042096,8.679230,0.726064,0.628209
7.071375,8.774801,0.735340,0.640333
7.100839,8.870314,0.748781,0.649362
7.128656,8.966333,0.765506,0.647313
7.157597,9.062014,0.792750,0.661707
7.189076,9.156892,0.817187,0.692902
7.219018,9.252255,0.841170,0.712234
7.250058,9.347281,0.865496,0.716748
7.282842,9.441719,0.880152,0.736737
7.317060,9.535645,0.903887,0.755262
7.352575,9.629088,0.936452,0.767812
7.386595,9.723083,0.911741,0.774243
7.417954,9.818000,0.880612,0.782899
7.448140,9.913291,0.850684,0.802797
7.473402,10.009980,0.825635,0.805751
7.492450,10.108114,0.806726,0.803737
7.510346,10.206464,0.788914,0.812930
7.525321,10.305296,0.773899,0.827931
7.538811,10.404340,0.760378,0.841443
7.549139,10.503770,0.750039,0.826859
7.558312,10.603311,0.740859,0.817244
7.562379,10.703193,0.736797,0.814689
7.565376,10.803110,0.733804,0.800174
7.567590,10.903050,0.731594,0.784996
7.573159,11.002850,0.726028,0.779955
7.577256,11.102733,0.721935,0.779726
7.582192,11.202577,0.717004,0.778918
7.591718,11.302089,0.707470,0.761800
7.602563,11.401467,0.700434,0.757593
7.614215,11.500753,0.702578,0.767315
7.626164,11.600004,0.718465,0.768551
7.637905,11.699280,0.710705,0.754407
7.648930,11.798637,0.699725,0.752657
7.658728,11.898123,0.689964,0.742061
7.666780,11.997764,0.681940,0.730118
7.674474,12.097425,0.674274,0.727268
7.682912,12.197036,0.665867,0.715641
7.690072,12.296746,0.658733,0.700553
7.695602,12.396559,0.653219,0.683922
7.699150,12.496462,0.649679,0.653345
7.700362,12.596420,0.648468,0.625005
7.700764,12.696378,0.648066,0.606628
7.701720,12.796341,0.647111,0.604993
7.701333,12.896307,0.647496,0.604605
7.699427,12.996255,0.649398,0.602700
7.697700,13.096195,0.651122,0.614819
7.697700,13.196163,0.651120,0.644067
7.699162,13.296107,0.649661,0.653025
7.701219,13.396052,0.647607,0.655081
7.703200,13.495993,0.645629,0.657061
7.704423,13.595950,0.644407,0.658997
7.705615,13.695905,0.643217,0.675847
7.707133,13.795860,0.641701,0.706877
7.708496,13.895818,0.640339,0.749911
7.707710,13.995777,0.641123,0.801375
7.703304,14.095635,0.645526,0.850645
7.693928,14.195140,0.654911,0.894843
7.677698,14.293746,0.671192,0.940295
7.651993,14.390286,0.697057,0.985525
7.613283,14.482301,0.736028,1.023314
7.557693,14.565061,0.790634,1.042561
7.482494,14.630238,0.865213,1.038390
7.390404,14.668070,0.883162,1.011653
7.291411,14.680244,0.871019,0.968514
7.191890,14.673105,0.878167,0.916293
7.094072,14.652829,0.900972,0.860560
6.998513,14.623612,0.849160,0.796375
6.905402,14.587300,0.789422,0.733774
6.815869,14.542859,0.730854,0.672592
6.728470,14.494347,0.678252,0.617494
6.642519,14.443313,0.639837,0.571932
6.558022,14.389893,0.600807,0.538485
6.474396,14.335125,0.565987,0.490465
6.391670,14.279001,0.542937,0.457274
6.310078,14.221256,0.526225,0.442578
6.229142,14.162583,0.510627,0.449035
6.149785,14.101812,0.497602,0.458871
6.072666,14.038203,0.488122,0.468413
5.996903,13.972992,0.480712,0.487872
5.921344,13.907544,0.475044,0.518785
5.846363,13.841431,0.490990,0.525041
5.771007,13.775746,0.498967,0.531862
5.694299,13.711646,0.514099,0.547118
5.616972,13.648299,0.512989,0.569992
5.537460,13.587726,0.506570,0.599959
5.455866,13.529970,0.516241,0.616708
5.372130,13.475419,0.531928,0.637206
5.285531,13.425491,0.544864,0.662955
5.196555,13.380053,0.559725,0.677690
5.103983,13.342375,0.552355,0.693858
5.009354,13.310156,0.557170,0.715801
4.913458,13.281960,0.575408,0.736430
4.815773,13.261068,0.589900,0.747683
4.716649,13.248463,0.602517,0.772964
4.616854,13.243270,0.607712,0.816501
4.516917,13.244360,0.613181,0.874456
4.417417,13.253536,0.626701,0.863211
4.318634,13.268545,0.641699,0.823730
4.220789,13.288987,0.645963,0.788292
4.124120,13.314390,0.660441,0.758783
4.029128,13.345384,0.681618,0.734120
3.935862,13.381363,0.683765,0.715607
3.844389,13.421607,0.681372,0.714895
3.754894,13.466142,0.679788,0.698802
3.665113,13.510096,0.684548,0.690874
3.576551,13.556453,0.692433,0.697457
3.488453,13.603695,0.687566,0.681621
3.401506,13.652987,0.684782,0.682604
3.316853,13.706130,0.692059,0.691832
3.234185,13.762303,0.688083,0.689273
3.154087,13.822119,0.688942,0.705464
3.075441,13.883826,0.700940,0.732329
2.996817,13.945556,0.712906,0.743575
2.919506,14.008932,0.722769,0.756169
2.842610,14.072803,0.731986,0.770075
2.766527,14.137648,0.739935,0.748441
2.689247,14.201047,0.749760,0.737920
2.611766,14.264211,0.759895,0.727782
2.534283,14.327376,0.770031,0.717643
2.455848,14.389356,0.781956,0.705988
2.376030,14.449531,0.808356,0.705161
2.294236,14.506977,0.848838,0.715067
2.210389,14.561407,0.892339,0.728044
2.123613,14.610993,0.940410,0.743231
2.034425,14.656067,0.995758,0.766320
1.942067,14.694274,1.006666,0.794280
1.847618,14.726978,0.973929,0.827220
1.751851,14.755620,0.945280,0.856320
1.655029,14.780472,0.920436,0.892126
1.557092,14.800415,0.900504,0.932830
1.458174,14.814702,0.886225,0.977110
1.358594,14.823262,0.877668,1.024346
1.258704,14.823271,0.877659,1.071586
1.159524,14.811649,0.889286,1.115808
1.063432,14.784964,0.916012,1.153367
0.974690,14.739441,0.961735,1.179483
0.898640,14.674831,0.951452,1.182994
0.837105,14.596276,0.889459,1.170964
0.788301,14.509168,0.840607,1.143906
0.753773,14.415440,0.806126,1.104963
0.730778,14.318204,0.783169,1.062529
0.716578,14.219278,0.768987,1.019674
0.708923,14.119616,0.761338,0.978914
0.706044,14.019695,0.758459,0.935656
0.706054,13.919730,0.758469,0.896499
0.707198,13.819769,0.759612,0.866053
0.707280,13.719805,0.759694,0.847440
0.704664,13.619875,0.757079,0.843083
0.702359,13.519942,0.754774,0.845389
0.698694,13.420042,0.751111,0.849055
0.695909,13.320113,0.748327,0.846911
0.694180,13.220162,0.746597,0.825320
0.694673,13.120213,0.747091,0.807888
0.697877,13.020297,0.750294,0.799905
0.701099,12.920381,0.758366,0.793215
0.701084,12.820427,0.776151,0.765275
0.699227,12.720478,0.801562,0.751556
0.696335,12.620552,0.798670,0.752043
0.692582,12.520655,0.794916,0.755788
0.688143,12.420787,0.790477,0.760219
0.683191,12.320942,0.785525,0.765159
0.677902,12.221114,0.780234,0.770438
0.672447,12.121295,0.774779,0.775881
0.667000,12.021476,0.769331,0.781317
0.661735,11.921647,0.764065,0.786572
0.656824,11.821801,0.759153,0.791474
0.652440,11.721929,0.762221,0.795849
0.648760,11.622030,0.775175,0.799523
0.645956,11.522102,0.793210,0.802323
0.644204,11.422150,0.796970,0.804072
0.643679,11.322185,0.796447,0.804595
0.644556,11.222223,0.797324,0.803718
0.647009,11.122287,0.799774,0.801265
0.647700,11.022330,0.800466,0.800573
0.647700,10.922363,0.800467,0.800572
0.647700,10.822395,0.800468,0.800571
0.647700,10.722427,0.800469,0.800570
0.648619,10.622474,0.801388,0.799651
0.650954,10.522536,0.803722,0.797315
0.651727,10.422572,0.814052,0.796542
0.651110,10.322608,0.834952,0.797157
0.649278,10.222658,0.852939,0.798986
0.646407,10.122732,0.850072,0.801853
0.642671,10.022834,0.846339,0.805583
0.637347,9.923022,0.841016,0.810897
0.630072,9.823320,0.833739,0.818157
0.624007,9.723537,0.827675,0.824211
0.619155,9.623688,0.822827,0.829054
0.615520,9.523788,0.819195,0.832684
0.613104,9.423850,0.816783,0.835097
0.611907,9.323891,0.815589,0.836292
0.614190,9.223961,0.817867,0.834008
0.616989,9.124033,0.820661,0.831209
0.619530,9.024098,0.823197,0.828667
0.621987,8.924160,0.825650,0.826210
0.624534,8.824225,0.828193,0.823662
0.627346,8.724297,0.830999,0.820850
0.630595,8.624382,0.834242,0.817600
0.631054,8.524430,0.834700,0.817140
0.629620,8.424474,0.833270,0.818572
0.627053,8.324540,0.830707,0.821135
0.623355,8.224641,0.809538,0.824828
0.618528,8.124791,0.782032,0.829648
0.612573,8.025002,0.765547,0.835592
0.605495,7.925286,0.758485,0.842658
0.600631,7.825449,0.753629,0.847515
0.597336,7.725536,0.750339,0.850805
0.595000,7.625596,0.748006,0.834013
0.594614,7.525645,0.747620,0.817339
0.597108,7.425709,0.750111,0.802282
0.599515,7.325770,0.754836,0.799621
0.601149,7.225829,0.771824,0.797987
0.599354,7.125879,0.797788,0.799776
0.596514,7.025952,0.820665,0.802608
0.593606,6.926034,0.845953,0.805506
0.591591,6.826089,0.843938,0.807515
0.587486,6.726208,0.839833,0.811606
0.581645,6.626413,0.833990,0.817426
0.574418,6.526708,0.826762,0.824624
0.566155,6.427083,0.818495,0.832854
0.557200,6.327517,0.809537,0.824128
0.547896,6.227983,0.800230,0.810866
0.538585,6.128450,0.790916,0.809827
0.529609,6.028887,0.781937,0.818813
0.521309,5.929264,0.773635,0.827121
0.516152,5.829444,0.768476,0.832281
0.511883,5.729568,0.764208,0.836551
0.507856,5.629681,0.767509,0.840578
0.504592,5.529767,0.784397,0.843843
0.499491,5.429942,0.802232,0.848947
0.493357,5.330163,0.796096,0.843475
0.487468,5.230369,0.790206,0.823491
0.481516,5.130584,0.784252,0.799646
0.474696,5.030854,0.777428,0.788723
0.472818,4.930930,0.775552,0.785452
0.470482,4.831001,0.773216,0.795289
0.466993,4.731095,0.769728,0.818433
0.463495,4.631188,0.766230,0.852749
0.460161,4.531276,0.762898,0.888741
0.457166,4.431354,0.759904,0.891729
0.454684,4.331417,0.757423,0.904885
0.452890,4.231466,0.755630,0.928018
0.452584,4.131511,0.755325,0.945701
0.455173,4.031577,0.757912,0.943116
0.457394,3.931634,0.760132,0.929025
0.458802,3.831688,0.771420,0.909380
0.456369,3.731751,0.791525,0.890568
0.452621,3.631855,0.806261,0.866642
0.447733,3.532007,0.801376,0.854961
0.441881,3.432212,0.795525,0.855852
0.435239,3.332465,0.788883,0.837670
0.427980,3.232761,0.781623,0.829892
0.419710,3.133145,0.773347,0.815432
0.412175,3.033494,0.765809,0.809265
0.408333,2.933605,0.761970,0.811717
0.403840,2.833740,0.757481,0.826980
0.401086,2.733812,0.754732,0.847213
0.400076,2.633852,0.753724,0.850354
0.400809,2.533888,0.754457,0.863403
0.402737,2.433943,0.756382,0.886444
