x_m,y_m,w_tr_right_m,w_tr_left_m
1.953077,-6.982182,0.711375,0.821001
2.052905,-6.979928,0.713626,0.872543
2.152268,-6.970299,0.723248,0.926052
2.249918,-6.949769,0.751229,0.977929
2.341725,-6.911066,0.807019,1.015411
2.419165,-6.849009,0.888176,1.026283
2.468070,-6.762641,0.927536,0.999787
2.484557,-6.664449,0.938134,0.945426
2.479127,-6.564850,0.944402,0.880085
2.463192,-6.466294,0.933181,0.813126
2.438399,-6.369582,0.866557,0.746206
2.405476,-6.275362,0.810431,0.680417
2.365902,-6.183686,0.753053,0.617737
2.323382,-6.093326,0.708147,0.562986
2.278224,-6.004256,0.677482,0.506863
2.230284,-5.916650,0.649693,0.459032
2.180396,-5.830143,0.623610,0.427296
2.130450,-5.743662,0.597591,0.417546
2.081050,-5.656872,0.570962,0.431657
2.028610,-5.571891,0.547817,0.443301
1.974765,-5.487799,0.526317,0.464701
1.918543,-5.405271,0.507636,0.483319
1.862315,-5.322746,0.488963,0.501936
1.804876,-5.241050,0.487771,0.519111
1.747035,-5.159652,0.488336,0.535792
1.691003,-5.076986,0.491974,0.554660
1.634977,-4.994317,0.510440,0.573538
1.580261,-4.910800,0.506399,0.567543
1.529240,-4.824953,0.504126,0.583021
1.478870,-4.738724,0.517257,0.608412
1.432776,-4.650134,0.530161,0.634762
1.392610,-4.558725,0.527526,0.647864
1.358428,-4.464922,0.530251,0.675805
1.329782,-4.369262,0.545733,0.688822
1.303286,-4.272989,0.570656,0.717605
1.283950,-4.175063,0.590068,0.753478
1.270755,-4.076075,0.603296,0.774502
1.262058,-3.976611,0.612008,0.798236
1.258541,-3.876833,0.618639,0.836387
1.264042,-3.777237,0.632202,0.841863
1.279661,-3.678625,0.651078,0.839675
1.300729,-3.581071,0.667203,0.788999
1.329875,-3.485556,0.677112,0.750866
1.364151,-3.391776,0.681712,0.729924
1.404954,-3.300639,0.692007,0.713755
1.450414,-3.211733,0.710091,0.704320
1.499491,-3.124763,0.703393,0.688075
1.549384,-3.038254,0.706199,0.687065
1.602361,-2.953604,0.708515,0.676957
1.657539,-2.870371,0.706812,0.681029
1.712417,-2.786936,0.710143,0.660741
1.770226,-2.705524,0.706811,0.657857
1.831269,-2.626497,0.713529,0.673936
1.894879,-2.549509,0.722982,0.694616
1.962058,-2.475631,0.727717,0.706768
2.030068,-2.402502,0.731335,0.733516
2.098909,-2.330160,0.733810,0.751143
