x_m,y_m,w_tr_right_m,w_tr_left_m
-5.927709,-0.778732,1.060636,1.040217
-5.830069,-0.799212,1.022541,1.011553
-5.730484,-0.804719,1.007918,0.972777
-5.630780,-0.800578,0.986615,0.933774
-5.531960,-0.786501,0.983052,0.894615
-5.434870,-0.763299,0.996545,0.856357
-5.338938,-0.735701,0.998350,0.824022
-5.244418,-0.703638,1.014663,0.798264
-5.151308,-0.667624,0.970588,0.780276
-5.058855,-0.629966,0.932262,0.764116
-4.966543,-0.591972,0.893598,0.757355
-4.876045,-0.549818,0.869217,0.759183
-4.786653,-0.505399,0.858373,0.771521
-4.698672,-0.458240,0.845049,0.774774
-4.613022,-0.406968,0.843225,0.768917
-4.527971,-0.354688,0.834624,0.774801
-4.443031,-0.302227,0.834170,0.767399
-4.358960,-0.248392,0.812928,0.761056
-4.274503,-0.195160,0.791957,0.768461
-4.189592,-0.142659,0.782386,0.768603
-4.107306,-0.086160,0.784740,0.772546
-4.026068,-0.028132,0.770502,0.752187
-3.946193,0.031752,0.771363,0.742466
-3.866489,0.091866,0.775323,0.741501
-3.786221,0.151227,0.764172,0.726223
-3.705786,0.210361,0.765700,0.719794
-3.625653,0.269906,0.766049,0.710884
-3.545634,0.329598,0.751694,0.705415
-3.466038,0.389847,0.738032,0.698895
-3.385709,0.449126,0.728164,0.695515
-3.305706,0.508846,0.732452,0.705833
-3.226389,0.569472,0.730839,0.719014
-3.147750,0.630976,0.725362,0.715042
-3.068837,0.692126,0.733115,0.711218
-2.989260,0.752410,0.727953,0.722398
-2.911402,0.814886,0.725378,0.714067
-2.833269,0.877032,0.736030,0.710654
-2.755538,0.939677,0.730751,0.720547
-2.678057,1.002621,0.730454,0.730766
-2.602552,1.067933,0.746695,0.737936
-2.527391,1.133639,0.742465,0.722220
-2.453185,1.200425,0.748821,0.714540
-2.378433,1.266594,0.767280,0.720619
-2.302327,1.331206,0.772224,0.728761
-2.226021,1.395582,0.786961,0.737212
-2.149266,1.459422,0.792395,0.747057
-2.069976,1.520079,0.801212,0.773702
-1.989158,1.578680,0.801345,0.812059
-1.905615,1.633280,0.809037,0.845985
-1.819129,1.683133,0.812931,0.855330
-1.729745,1.727511,0.802871,0.817698
-1.636621,1.763412,0.792054,0.800082
-1.541668,1.794202,0.788318,0.794238
-1.444546,1.817117,0.789041,0.779277
-1.345842,1.831886,0.783108,0.785218
-1.246679,1.843423,0.773757,0.805537
-1.147363,1.853566,0.772921,0.817728
-1.048293,1.865867,0.777624,0.839582
-0.949298,1.878712,0.795469,0.866204
-0.849974,1.888793,0.822474,0.870043
-0.750622,1.898600,0.860036,0.885466
-0.651099,1.906103,0.903335,0.902090
-0.551315,1.905290,0.931133,0.928847
-0.452222,1.893794,0.958510,0.967141
-0.354895,1.871754,0.980618,1.013628
-0.260980,1.838250,0.996140,1.056885
-0.173644,1.790177,1.005612,1.005518
-0.094113,1.730062,1.010599,0.960570
-0.023901,1.659249,1.005532,0.915437
0.035692,1.579281,0.991182,0.892940
0.084932,1.492533,0.964840,0.893595
0.127472,1.402230,0.931550,0.912742
0.165832,1.310066,0.903589,0.929136
0.202131,1.217065,0.883847,0.955482
0.238188,1.123970,0.872819,0.991464
0.276512,1.031798,0.856358,1.029567
0.319130,0.941546,0.856061,1.063308
0.369603,0.855500,0.876022,1.088509
0.429715,0.775920,0.917171,1.102292
0.500474,0.705654,0.978284,1.104809
0.580503,0.646199,1.050045,1.102077
0.668211,0.598802,1.122383,1.094056
0.762363,0.565913,1.090181,1.079219
0.859255,0.541931,1.055834,1.064035
0.958195,0.529177,1.036277,1.038313
1.057910,0.525423,1.012731,1.012810
1.157623,0.529422,0.996631,0.988902
1.256762,0.541102,0.979895,0.953215
1.355283,0.557176,0.977600,0.909011
1.453663,0.574154,0.986371,0.873148
1.551690,0.593032,0.986742,0.845700
1.650012,0.610319,0.987106,0.828478
1.747386,0.632209,0.988339,0.809012
1.843837,0.657950,0.990044,0.797631
1.939232,0.687354,1.004506,0.794855
2.033265,0.720858,0.972516,0.787207
2.125700,0.758558,0.933776,0.777304
2.215241,0.802679,0.886900,0.773122
2.302250,0.851590,0.844602,0.776391
2.386746,0.904737,0.817204,0.766045
2.468690,0.961750,0.799570,0.749541
2.549174,1.020810,0.784419,0.743629
2.626954,1.083365,0.773654,0.737071
2.703048,1.147991,0.765544,0.725470
2.778799,1.213015,0.757960,0.726987
2.851930,1.280967,0.754298,0.730648
2.922758,1.351315,0.753959,0.730986
2.992258,1.422981,0.755491,0.729453
3.060193,1.496134,0.759181,0.725762
3.127780,1.569608,0.763343,0.721599
3.194482,1.643887,0.768702,0.723794
3.261977,1.717449,0.772992,0.740625
3.330706,1.789856,0.775593,0.754076
3.399689,1.862023,0.777846,0.767587
3.468242,1.934588,0.780682,0.786265
3.538566,2.005448,0.787086,0.808062
3.609774,2.075422,0.804687,0.812179
3.681917,2.144431,0.820952,0.822371
3.754256,2.213229,0.837938,0.815874
3.828170,2.280338,0.841766,0.817584
3.902845,2.346597,0.844812,0.803534
3.978683,2.411520,0.857787,0.803531
4.055784,2.474941,0.859720,0.797487
4.133847,2.537166,0.859134,0.790148
4.213811,2.596929,0.864567,0.798454
4.295983,2.653611,0.846729,0.816477
4.380131,2.707319,0.827784,0.825721
4.465595,2.758911,0.815552,0.779812
4.554413,2.804442,0.808524,0.734782
4.645000,2.846384,0.793385,0.693460
4.738180,2.882068,0.777043,0.657909
4.833640,2.911241,0.757738,0.628492
4.931011,2.933007,0.740403,0.606600
5.029797,2.947354,0.728748,0.592205
5.129312,2.954671,0.700880,0.584872
5.229136,2.955613,0.677559,0.583922
5.328952,2.953744,0.665676,0.585776
5.428671,2.949306,0.661245,0.601179
5.528357,2.943885,0.655833,0.621489
5.628163,2.941931,0.653883,0.647748
5.727990,2.942691,0.654646,0.647000
5.827817,2.942303,0.654260,0.648544
5.927650,2.942034,0.658791,0.665121
6.027476,2.942160,0.673754,0.695402
6.127306,2.941503,0.693148,0.697155
6.227091,2.938417,0.700119,0.700246
6.326856,2.934888,0.703967,0.703781
6.426566,2.929954,0.720373,0.708721
6.526202,2.923745,0.745472,0.714938
6.625693,2.915515,0.760157,0.723180
6.724852,2.903954,0.778594,0.734762
6.824021,2.892487,0.791613,0.746250
6.923095,2.880246,0.808036,0.737336
7.021806,2.865324,0.819104,0.730853
