x_m,y_m,w_tr_right_m,w_tr_left_m
7.651672,-0.252049,1.056704,1.196641
7.751604,-0.249279,1.082405,1.243171
7.850958,-0.238335,1.112329,1.288751
7.948495,-0.216624,1.117643,1.325576
8.042035,-0.181576,1.145255,1.349210
8.129408,-0.133112,1.193850,1.363963
8.208385,-0.071971,1.181315,1.370816
8.276350,0.001223,1.114910,1.367122
8.332512,0.083840,1.058589,1.349831
8.377698,0.172976,1.013442,1.327118
8.410930,0.267231,0.980279,1.293987
8.435871,0.364036,0.958757,1.257404
8.454271,0.462305,0.954047,1.221474
8.467595,0.561397,0.948555,1.184324
8.477078,0.660936,0.939075,1.147193
8.484533,0.760650,0.935876,1.115834
8.491630,0.860390,0.943681,1.084183
8.496425,0.960260,0.949949,1.050721
8.499439,1.060206,0.955215,1.017260
8.503056,1.160133,0.967583,0.991747
8.507687,1.260017,0.988969,0.969501
8.512210,1.359906,1.004380,0.947177
8.516058,1.459824,1.008625,0.932808
8.520012,1.559738,1.021945,0.928078
8.524096,1.659645,1.026837,0.914695
8.530352,1.759442,1.036844,0.914314
8.537130,1.859205,1.030289,0.921094
8.544073,1.958957,1.029145,0.928039
8.550823,2.058722,1.032525,0.934791
8.557023,2.158522,1.034762,0.940992
8.563011,2.258333,1.028780,0.951024
8.570252,2.358062,1.021548,0.972514
8.577441,2.457795,1.015548,0.995291
8.582978,2.557633,1.021015,1.024770
8.586678,2.657556,1.029791,1.045748
8.589987,2.757489,1.026481,1.055593
8.595516,2.857329,1.023146,1.076846
8.601439,2.957145,1.025151,1.107129
8.607305,3.056965,1.031511,1.142958
8.610236,3.156906,1.031006,1.178438
8.607545,3.256840,1.033695,1.216029
8.596825,3.356218,1.047516,1.253219
8.575225,3.453772,1.080947,1.287045
8.539097,3.546861,1.127120,1.313396
8.486208,3.631501,1.181873,1.328615
8.414026,3.700220,1.151508,1.326261
8.326391,3.747706,1.113955,1.305147
8.230160,3.774244,1.099959,1.269254
8.130744,3.784146,1.092313,1.224390
8.030819,3.782283,1.105474,1.172519
7.931528,3.770719,1.131345,1.114744
7.832966,3.753914,1.159515,1.058666
7.735202,3.732934,1.191017,1.005657
7.637806,3.710306,1.216859,0.958632
7.540498,3.687303,1.190208,0.919748
7.442482,3.667521,1.164118,0.893657
7.344343,3.648359,1.128398,0.874519
7.246367,3.628385,1.096406,0.858798
7.148348,3.608619,1.072604,0.854777
7.049982,3.590670,1.047930,0.864241
6.951389,3.574020,1.025670,0.865582
6.853220,3.555020,1.008712,0.863208
6.755179,3.535380,0.986567,0.862075
6.657526,3.513888,0.960276,0.867455
6.560206,3.490940,0.942579,0.871398
6.463409,3.465864,0.937486,0.870271
6.367027,3.439264,0.927995,0.873489
6.271021,3.411314,0.917562,0.872683
6.175223,3.382663,0.906418,0.877774
6.080309,3.351217,0.900545,0.891217
5.986332,3.317067,0.894456,0.892326
5.892744,3.281860,0.891120,0.893106
5.799490,3.245772,0.888790,0.894358
5.706216,3.209742,0.886467,0.885574
5.612986,3.173593,0.884338,0.887908
5.519762,3.137438,0.882284,0.891782
5.427022,3.100052,0.879703,0.884101
5.333971,3.063450,0.874315,0.885680
5.241041,3.026543,0.872371,0.886009
5.148459,2.988772,0.882755,0.874553
5.056009,2.950680,0.889724,0.869458
4.963586,2.912514,0.872369,0.875745
4.871409,2.873760,0.866918,0.871082
4.778869,2.835885,0.872018,0.868844
4.685925,2.799021,0.881809,0.871828
4.592623,2.763060,0.879534,0.873403
4.498331,2.729805,0.881665,0.889151
4.403259,2.698823,0.872966,0.905955
4.308794,2.666049,0.862575,0.910873
4.214904,2.631669,0.860151,0.917439
4.121334,2.596411,0.860903,0.933805
4.027471,2.561946,0.851186,0.958001
3.933113,2.528861,0.851694,0.986929
3.837950,2.498187,0.847051,1.027127
