x_m,y_m,w_tr_right_m,w_tr_left_m
-23.090055,-0.976491,1.369537,1.339210
-22.994189,-1.004604,1.362991,1.311483
-22.896633,-1.026150,1.356865,1.277679
-22.798200,-1.043219,1.355476,1.246260
-22.698923,-1.054423,1.323300,1.216456
-22.599240,-1.061247,1.291810,1.189982
-22.499358,-1.063669,1.270087,1.167115
-22.399470,-1.061427,1.247690,1.147859
-22.299672,-1.056622,1.235562,1.134530
-22.200136,-1.047927,1.222255,1.125861
-22.100847,-1.036721,1.209758,1.114695
-22.001785,-1.023688,1.207282,1.101714
-21.903045,-1.008389,1.207372,1.086391
-21.804354,-0.992771,1.200551,1.079808
-21.705833,-0.976117,1.203073,1.081402
-21.607375,-0.959087,1.199719,1.086462
-21.508911,-0.942092,1.193926,1.097417
-21.410340,-0.925732,1.181968,1.105771
-21.311436,-0.911570,1.176169,1.103607
-21.212613,-0.896814,1.179437,1.109870
-21.113967,-0.880916,1.172920,1.123873
-21.015324,-0.865007,1.170231,1.122391
-20.916704,-0.848952,1.176202,1.126005
-20.817944,-0.833786,1.166413,1.116864
-20.719255,-0.818171,1.159113,1.116170
-20.620950,-0.800285,1.152311,1.122103
-20.522547,-0.782941,1.153603,1.134137
-20.424318,-0.764641,1.152301,1.134705
-20.326048,-0.746572,1.147154,1.133551
-20.227777,-0.728495,1.150701,1.133114
-20.129798,-0.708924,1.153739,1.137852
-20.031805,-0.689399,1.151477,1.128560
-19.933978,-0.669057,1.154815,1.127242
-19.836106,-0.648942,1.154136,1.134985
-19.738160,-0.629182,1.153645,1.130055
-19.640285,-0.609074,1.145929,1.130575
-19.542493,-0.588561,1.147312,1.132694
-19.444820,-0.567492,1.157914,1.133326
-19.347087,-0.546717,1.154787,1.129292
-19.249174,-0.526794,1.156958,1.123679
-19.151272,-0.506811,1.165609,1.126872
-19.053182,-0.487800,1.160365,1.122003
-18.955280,-0.467823,1.153257,1.117749
-18.857286,-0.448318,1.148936,1.122888
-18.759282,-0.428860,1.153242,1.114909
-18.661383,-0.408869,1.155635,1.112072
-18.563290,-0.389869,1.152246,1.119195
-18.465389,-0.369889,1.158500,1.114273
-18.367432,-0.350188,1.160218,1.113298
-18.269391,-0.330926,1.158500,1.121415
-18.171493,-0.310926,1.157236,1.121303
-18.073401,-0.291927,1.156283,1.122511
-17.975497,-0.271955,1.158002,1.114952
-17.877579,-0.252058,1.150906,1.116397
-17.779500,-0.232992,1.151616,1.114905
-17.681604,-0.212984,1.161908,1.108719
-17.583520,-0.193939,1.155573,1.112496
-17.485606,-0.174021,1.158538,1.122743
-17.387702,-0.154050,1.162941,1.121668
-17.289610,-0.135051,1.161252,1.115680
-17.191713,-0.115050,1.151228,1.103470
-17.093667,-0.095809,1.147477,1.101009
-16.995715,-0.076087,1.152897,1.107107
-16.897813,-0.056108,1.155975,1.111429
-16.799721,-0.037108,1.153390,1.116122
-16.701821,-0.017116,1.160447,1.106623
-16.603902,0.002778,1.160898,1.106204
-16.505953,0.022524,1.160472,1.107510
-16.408012,0.042313,1.154756,1.099619
-16.310034,0.061916,1.155279,1.100969
-16.212055,0.081516,1.158627,1.111341
-16.114068,0.101073,1.151993,1.109288
-16.016050,0.120471,1.153844,1.112367
-15.918046,0.139947,1.162325,1.107586
-15.820012,0.159268,1.156867,1.111957
-15.721976,0.178577,1.160009,1.105953
-15.623942,0.197899,1.159525,1.102770
-15.525875,0.217051,1.161547,1.108792
-15.427830,0.236314,1.150080,1.100139
-15.329761,0.255457,1.147034,1.098595
-15.231688,0.274577,1.152652,1.104045
-15.133627,0.293761,1.153434,1.094849
-15.035533,0.312779,1.151670,1.094902
-14.937465,0.331923,1.158681,1.103909
-14.839381,0.350992,1.156801,1.102636
-14.741292,0.370030,1.153607,1.104368
-14.643222,0.389166,1.145843,1.104502
-14.545247,0.408769,1.147242,1.106721
-14.447187,0.427947,1.152180,1.104305
-14.349071,0.446847,1.145650,1.099656
-14.251105,0.466490,1.148571,1.103311
-14.152971,0.485297,1.154908,1.101886
-14.054909,0.504464,1.150066,1.098488
-13.956834,0.523560,1.152781,1.104229
-13.858682,0.542271,1.148471,1.110589
-13.760685,0.561758,1.153050,1.116519
-13.662527,0.580440,1.141645,1.107460
-13.564420,0.599377,1.139185,1.107012
-13.466369,0.618596,1.145753,1.110686
-13.368220,0.637322,1.144552,1.102890
-13.270232,0.656858,1.144116,1.103295
-13.172090,0.675622,1.151594,1.104773
-13.073978,0.694534,1.148027,1.098217
-12.975992,0.714080,1.141134,1.100085
-12.877885,0.733028,1.133975,1.098970
-12.779952,0.752837,1.136473,1.092949
-12.682010,0.772600,1.144007,1.096087
-12.583901,0.791532,1.138281,1.106968
-12.485917,0.811088,1.141940,1.109609
-12.387789,0.829925,1.146832,1.105196
-12.289637,0.848638,1.142306,1.103087
-12.191638,0.868116,1.141169,1.109230
-12.093476,0.886776,1.137646,1.100355
-11.995417,0.905953,1.143406,1.099232
-11.897286,0.924763,1.133483,1.107535
-11.799109,0.943343,1.131463,1.108739
-11.701090,0.962720,1.139051,1.109113
-11.602915,0.981313,1.136179,1.098646
-11.504822,1.000319,1.136014,1.091527
-11.406726,1.019305,1.140068,1.093551
-11.308562,1.037958,1.139205,1.104981
-11.210564,1.057441,1.130666,1.106146
-11.112416,1.076171,1.124062,1.106621
-11.014329,1.095210,1.126633,1.102294
-10.916469,1.115386,1.134003,1.105851
-10.818319,1.134110,1.128838,1.100374
-10.720380,1.153886,1.133568,1.096743
-10.622369,1.173306,1.137556,1.102558
-10.524227,1.192068,1.133863,1.103935
-10.426230,1.211561,1.128503,1.102249
-10.328065,1.230201,1.125813,1.108431
-10.229896,1.248826,1.131955,1.108752
-10.131877,1.268204,1.124495,1.111427
-10.033706,1.286816,1.123320,1.104207
-9.935672,1.306117,1.131704,1.105301
-9.837506,1.324754,1.127318,1.106068
-9.739329,1.343334,1.127541,1.100313
-9.641316,1.362741,1.127763,1.102770
-9.543153,1.381394,1.129044,1.100841
-9.445106,1.400633,1.121015,1.095860
-9.346996,1.419556,1.115386,1.100291
-9.248854,1.438318,1.118525,1.102075
-9.150984,1.458444,1.124340,1.097789
-9.052903,1.477511,1.120310,1.103655
-8.954843,1.496687,1.125285,1.106160
